time,X_value,Y_value,Z_value
0.0035,0.01826,-0.01078,0.00199
0.0036,0.01719,-0.00812,0.00092
0.0092,0.01772,-0.00599,0.00039
0.0093,0.02039,-0.00332,-0.00174
0.0093,0.01826,-0.00332,-0.00227
0.0108,0.01932,-0.00066,-0.00174
0.0147,0.01666,-0.00013,-0.00387
0.0147,0.01879,-0.00119,-0.00547
0.0173,0.01826,0.00147,-0.00281
0.0185,0.01240,0.00094,-0.00387
0.0222,0.01240,0.00147,-0.00653
0.0222,0.01186,0.00467,-0.00600
0.0251,0.01133,0.00094,-0.00440
0.0269,0.01293,0.00200,-0.00440
0.0293,0.00920,0.00307,-0.00547
0.0307,0.00760,0.00467,-0.00653
0.0329,0.00973,0.00573,-0.00600
0.0350,0.00814,0.00627,-0.00600
0.0358,0.00601,0.00307,-0.00547
0.0377,0.00601,0.00307,-0.00387
0.0401,0.00015,0.00147,-0.00440
0.0430,0.00174,0.00094,-0.00440
0.0444,0.00281,-0.00013,-0.00440
0.0469,0.00015,-0.00013,-0.00281
0.0512,0.00015,-0.00172,-0.00494
0.0512,-0.00518,-0.00599,-0.00547
0.0532,-0.00465,-0.00172,-0.00494
0.0553,-0.00358,-0.00385,-0.00281
0.0573,-0.00731,-0.00599,-0.00387
0.0577,-0.00731,-0.00812,-0.00547
0.0619,-0.00944,-0.01025,-0.00227
0.0619,-0.00731,-0.00971,-0.00227
0.0637,-0.00784,-0.00971,-0.00227
0.0670,-0.00944,-0.01291,-0.00494
0.0750,-0.01370,-0.01238,-0.00547
0.0750,-0.01477,-0.01611,-0.00174
0.0750,-0.01104,-0.01611,-0.00174
0.0750,-0.01104,-0.01717,-0.00440
0.0774,-0.01051,-0.01664,0.00039
0.0791,-0.01264,-0.01770,-0.00227
0.0807,-0.00997,-0.01983,-0.00227
0.0823,-0.01210,-0.01664,-0.00387
0.0856,-0.01051,-0.01770,-0.00281
0.0856,-0.01104,-0.01983,-0.00281
0.0890,-0.01051,-0.01983,-0.00174
0.0896,-0.00891,-0.01877,-0.00174
0.0932,-0.00944,-0.02090,-0.00121
0.0932,-0.01157,-0.02037,-0.00440
0.0967,-0.01104,-0.01664,-0.00281
0.0982,-0.01370,-0.01877,-0.00281
0.1015,-0.01583,-0.01770,-0.00387
0.1015,-0.01477,-0.01770,-0.00494
0.1055,-0.01903,-0.01611,-0.00281
0.1055,-0.01850,-0.01770,-0.00334
0.1084,-0.02009,-0.01451,-0.00334
0.1107,-0.02009,-0.00971,-0.00281
