time,X_value,Y_value,Z_value
0.0035,-0.00587,0.02814,0.00695
0.0093,0.00251,0.03630,-0.00915
0.0093,0.00606,0.03372,-0.00960
0.0146,0.00967,0.03711,-0.01116
0.0173,0.00257,0.04403,-0.03057
0.0222,0.00271,0.04377,-0.03198
0.0251,-0.00781,0.03991,-0.04667
0.0293,-0.00756,0.03252,-0.05059
0.0329,0.00812,0.00737,-0.06162
0.0358,0.03083,0.01687,-0.06076
0.0401,0.04384,0.00964,-0.05285
0.0444,0.04005,0.01077,-0.04873
0.0512,0.05058,0.00001,-0.04586
0.0532,0.06813,-0.01542,-0.06210
0.0573,0.05947,-0.01651,-0.07247
0.0619,0.05912,-0.02233,-0.08871
0.0637,0.04933,-0.01863,-0.09424
0.0750,0.03481,-0.02682,-0.08425
0.0750,0.02766,-0.02785,-0.07094
0.0774,0.02402,-0.01224,-0.05543
0.0807,0.02874,-0.01576,-0.03520
0.0856,0.03345,-0.01925,-0.01874
0.0891,0.03577,-0.00846,-0.00597
0.0932,0.02141,-0.00607,-0.02061
0.0967,-0.00117,-0.01201,-0.04932
0.1015,-0.00448,0.00229,-0.05174
0.1055,0.00410,0.02119,-0.06258
0.1085,-0.00044,0.03637,-0.08292
0.1129,-0.00735,0.03953,-0.08180
0.1167,-0.01189,0.04264,-0.09029
0.1193,-0.01996,0.03741,-0.08212
0.1249,-0.03639,0.03577,-0.06105
0.1285,-0.03245,0.03058,-0.02948
0.1326,-0.02146,0.02067,0.00535
0.1367,-0.03325,0.00612,0.05549
0.1406,-0.01635,0.00356,0.09928
0.1442,0.00869,0.00345,0.13350
0.1494,0.02282,-0.00259,0.15447
0.1528,0.01300,-0.01450,0.16351
0.1572,0.02477,-0.03102,0.15965
0.1596,0.05549,-0.04857,0.14176
0.1632,0.06819,-0.05764,0.10987
0.1701,0.06415,-0.05712,0.07003
0.1735,0.04949,-0.04948,0.03641
0.1790,0.03504,-0.05378,-0.00524
0.1790,0.02424,-0.03905,-0.05610
0.1852,0.01477,-0.02208,-0.08051
0.1921,0.00545,-0.00883,-0.09534
0.1922,0.00330,-0.00047,-0.10071
0.1972,0.00236,0.01136,-0.09552
0.1992,-0.01762,0.03496,-0.08569
0.2046,-0.03266,0.04172,-0.08915
0.2085,-0.04289,0.04127,-0.08679
0.2115,-0.05781,0.04794,-0.07855
0.2168,-0.06548,0.04981,-0.06328
0.2216,-0.05773,0.04926,-0.05893
0.2254,-0.04524,0.04516,-0.05463
0.2280,-0.03287,0.04227,-0.05041
0.2326,-0.02900,0.03702,-0.05101
0.2371,-0.01925,0.02350,-0.04685
0.2394,-0.03095,0.01960,-0.04983
0.2446,-0.03900,0.01099,-0.04561
0.2491,-0.02799,0.01078,-0.03655
0.2516,-0.01483,0.00108,-0.01800
0.2555,-0.01242,-0.00260,0.01114
0.2599,-0.00527,0.00091,0.04970
0.2628,-0.01364,-0.01103,0.07859
0.2677,-0.02315,-0.00503,0.10506
0.2715,-0.03025,-0.00025,0.13268
0.2758,-0.03499,0.00333,0.15901
0.2803,-0.01715,0.00572,0.17227
0.2832,-0.02804,0.00334,0.15223
0.2874,-0.00316,-0.00256,0.12060
0.2916,0.04652,-0.02860,0.09638
0.2956,0.05421,-0.02711,0.04977
0.2996,0.04286,-0.01613,-0.00834
0.3041,0.01851,0.01492,-0.03411
0.3072,0.01586,0.00889,-0.06916
0.3105,0.01323,0.00171,-0.09103
0.3154,0.04510,-0.02087,-0.08071
0.3196,0.03036,-0.01239,-0.10026
0.3268,0.00983,-0.01230,-0.11261
0.3269,0.01441,-0.03242,-0.11662
0.3316,0.00593,-0.01794,-0.12185
0.3364,-0.02153,-0.00477,-0.11162
0.3400,-0.02740,-0.01309,-0.09674
0.3431,-0.03323,-0.01776,-0.08306
0.3479,-0.03313,-0.00815,-0.09687
0.3518,-0.01768,-0.00813,-0.09039
0.3571,-0.00709,-0.00099,-0.09946
0.3604,0.02010,-0.00221,-0.09770
0.3635,0.03289,-0.00462,-0.08296
0.3668,0.03474,-0.00819,-0.05524
0.3708,0.02715,-0.01648,-0.04316
0.3749,0.02673,-0.01044,-0.02404
0.3791,0.03228,0.00742,-0.01933
0.3832,0.02944,0.01089,-0.01345
0.3866,0.03262,0.02264,-0.00520
0.3906,0.01681,0.00700,0.00661
0.3950,-0.02741,-0.01330,0.00987
0.3996,-0.03083,-0.02271,0.00611
0.4027,-0.03188,-0.02254,0.00233
0.4064,-0.01744,0.02394,-0.01449
0.4119,0.01356,0.04984,-0.03953
0.4154,-0.02578,0.03512,-0.05503
0.4184,-0.05290,-0.00208,-0.08010
0.4237,-0.04651,-0.01167,-0.09204
0.4270,-0.02124,0.00732,-0.09327
0.4307,0.02650,0.00357,-0.08152
0.4341,0.05495,-0.01443,-0.07003
0.4415,0.04631,-0.00495,-0.06098
0.4416,0.01403,0.00798,-0.05346
0.4472,0.02713,0.00178,-0.05203
0.4503,0.04604,0.00154,-0.05440
0.4535,0.05892,0.00606,-0.04963
0.4602,0.07413,0.01646,-0.05210
0.4629,0.04527,0.01726,-0.04167
0.4666,0.02616,-0.00572,-0.03733
0.4709,0.02267,-0.00238,-0.03779
0.4757,0.01926,-0.00382,-0.02052
0.4787,0.02180,-0.01832,0.01684
0.4828,0.02194,0.00058,0.03144
0.4857,0.03159,-0.00561,0.03886
0.4896,0.03653,-0.01884,0.06185
0.4948,0.01766,-0.02482,0.06930
0.4992,-0.02251,-0.00581,0.05656
0.5018,-0.02909,-0.00118,0.05001
0.5113,-0.02614,-0.00966,0.04949
0.5114,-0.02681,0.00097,0.04441
0.5142,-0.03814,0.02102,0.05251
0.5183,-0.05538,0.01598,0.08208
0.5216,-0.05357,0.01575,0.10564
0.5253,-0.06015,0.01435,0.11960
0.5310,-0.05956,0.00943,0.13365
0.5334,-0.06268,0.02000,0.13584
0.5370,-0.08128,0.04356,0.12853
0.5409,-0.06888,0.04081,0.13932
0.5453,-0.02692,0.01907,0.13926
0.5506,-0.00673,0.00347,0.11912
0.5536,-0.00934,-0.00368,0.11824
0.5576,-0.00481,0.00706,0.12818
0.5611,0.01037,-0.00484,0.11194
0.5653,0.01478,-0.02970,0.09121
0.5702,0.02865,-0.04959,0.10160
0.5906,0.00549,-0.04436,0.08469
0.5907,0.00641,-0.04747,0.05496
0.5908,0.01331,-0.04104,0.03621
0.5909,-0.01314,-0.03228,0.02008
0.5910,0.00458,-0.04854,0.00998
0.6027,0.00434,-0.05635,0.01183
0.6027,-0.03151,-0.02846,0.00779
0.6027,-0.03972,0.00158,-0.00927
0.6047,-0.01093,-0.02326,-0.01189
0.6087,0.00097,-0.05265,-0.01575
0.6119,-0.00498,-0.06042,-0.02078
0.6179,-0.00018,-0.06099,-0.04234
0.6232,0.00334,-0.04612,-0.07565
0.6250,-0.00733,-0.01596,-0.13972
0.6279,0.05469,-0.02286,-0.14148
0.6325,0.10197,-0.05113,-0.16144
0.6365,0.03125,-0.00081,-0.18261
0.6414,0.01708,-0.01389,-0.20508
0.6445,-0.00045,-0.01976,-0.19074
0.6484,-0.00350,0.02783,-0.18634
0.6523,0.01608,0.07142,-0.19171
0.6564,0.03923,0.06239,-0.17452
0.6602,0.06344,0.03677,-0.16010
0.6638,0.02331,0.03154,-0.14354
0.6684,0.01559,-0.00456,-0.10363
0.6731,-0.00650,-0.01898,-0.05683
0.6780,-0.04398,0.02256,-0.04358
0.6799,0.04260,-0.03953,-0.01819
0.6853,0.23441,-0.28389,0.06720
0.7070,0.48926,-0.30416,0.12637
0.7071,0.13482,0.52378,0.28364
0.7074,-0.25861,0.66667,0.32481
0.7075,-0.12396,0.10039,-0.18118
0.7076,-0.18672,-0.08113,-0.33759
0.7181,-0.29324,-0.07230,-0.15537
0.7200,-0.15902,-0.03979,-0.18614
0.7200,-0.04012,-0.02541,-0.26918
0.7217,-0.04589,0.00668,-0.18756
0.7236,-0.06590,0.00762,-0.07331
0.7272,-0.03582,-0.03061,0.01525
0.7324,-0.01068,-0.04236,0.10334
0.7354,0.07735,-0.09794,0.15748
0.7429,0.09110,-0.01765,0.20291
0.7455,0.04674,0.10003,0.27791
0.7470,0.11090,0.04690,0.27879
0.7511,0.13193,0.01441,0.24408
0.7558,0.11606,-0.05578,0.18847
0.7590,0.12432,-0.12062,0.13580
0.7636,0.16594,-0.12909,0.08474
0.7672,0.19438,-0.13154,0.05078
0.7711,0.19549,-0.10902,0.01825
0.7766,0.18840,-0.09144,-0.01757
0.7809,0.13884,-0.07164,-0.03183
0.7833,0.11720,-0.04489,-0.04612
0.7870,0.13397,-0.05279,-0.04123
0.7913,0.16504,-0.07133,-0.01512
0.7966,0.14733,-0.04694,0.01673
0.7996,0.18345,-0.06906,0.03414
0.8031,0.19463,-0.07315,0.06226
0.8131,0.20600,-0.08548,0.09270
0.8133,0.21874,-0.10482,0.10992
0.8185,0.24113,-0.11446,0.12602
0.8198,0.20645,-0.08834,0.15176
0.8499,0.17705,-0.08497,0.14897
0.8499,0.16117,-0.10416,0.14402
0.8500,0.13716,-0.10654,0.14636
0.8501,0.10520,-0.10057,0.15589
0.8501,0.09981,-0.08038,0.16071
0.8502,0.12055,-0.02229,0.17539
0.8502,0.20428,0.05554,0.08678
0.8504,0.32203,0.02349,-0.01871
0.8550,0.29282,-0.04032,0.01471
0.8601,0.19732,-0.04300,0.06706
0.8631,0.12643,0.00428,0.08369
0.8682,0.07256,0.05835,0.03882
0.8707,0.02713,0.12627,-0.10265
0.8779,0.02357,0.24591,-0.28198
0.8794,0.01428,0.32883,-0.46524
0.8827,-0.15068,0.25415,-0.46860
0.8863,-0.42372,0.10755,-0.31928
0.8918,-0.58212,0.00126,-0.17425
0.8948,-0.60650,-0.05315,-0.10102
0.8999,-0.51327,-0.04538,-0.04646
0.9026,-0.33426,-0.04840,-0.01992
0.9063,-0.16860,-0.06328,0.02301
0.9106,0.01839,-0.10414,0.05498
0.9143,0.12682,-0.10661,0.12492
0.9198,0.19544,-0.09949,0.16971
0.9223,0.23051,-0.12801,0.16570
0.9268,0.23710,-0.12182,0.14167
0.9303,0.18326,-0.10259,0.09297
0.9399,0.09308,-0.10370,0.02451
0.9401,0.01329,-0.09531,-0.02804
0.9437,-0.02788,-0.05851,-0.08635
0.9477,-0.09491,-0.01847,-0.14069
0.9503,-0.11997,0.01408,-0.16502
0.9702,-0.14742,0.05347,-0.15479
0.9702,-0.20342,0.11151,-0.13047
0.9703,-0.19383,0.12392,-0.11355
0.9704,-0.19052,0.14217,-0.09430
0.9705,-0.20300,0.14955,-0.08478
0.9872,-0.20369,0.14024,-0.05981
0.9873,-0.18919,0.11438,-0.03856
0.9874,-0.15831,0.10063,-0.00552
0.9874,-0.14809,0.10125,0.04403
0.9913,-0.17489,0.08526,0.07673
0.9935,-0.16122,0.05159,0.11520
0.9974,-0.13002,0.04435,0.14637
1.0027,-0.13370,0.03719,0.14304
1.0060,-0.08024,0.00756,0.16251
1.0095,-0.05938,-0.02416,0.20466
1.0138,-0.09689,-0.04727,0.21110
1.0174,-0.10791,-0.01430,0.20595
1.0224,-0.05114,0.02316,0.17964
1.0262,-0.07806,-0.01924,0.17276
1.0299,-0.16422,-0.05416,0.14219
1.0335,-0.20597,-0.09354,0.10011
