time,ax,ay,az,atotal
2021-03-04 17:30:32.0790,-0.39,0.1,0.08,0.41
2021-03-04 17:30:32.0900,-0.48,0.19,0.22,0.56
2021-03-04 17:30:32.1090,-0.31,0.07,0.33,0.45
2021-03-04 17:30:32.1110,-0.26,0.08,0.29,0.39
2021-03-04 17:30:32.1180,-0.24,0.15,0.11,0.3
2021-03-04 17:30:32.1280,-0.18,0.04,0.0,0.18
2021-03-04 17:30:32.1390,-0.09,-0.1,-0.06,0.14
2021-03-04 17:30:32.1490,0.01,-0.11,-0.14,0.17
2021-03-04 17:30:32.1590,0.11,-0.12,-0.23,0.28
2021-03-04 17:30:32.1690,0.24,-0.15,-0.25,0.37
2021-03-04 17:30:32.1790,0.32,-0.09,-0.22,0.39
2021-03-04 17:30:32.1890,0.38,0.0,-0.22,0.43
2021-03-04 17:30:32.2080,0.43,0.05,-0.25,0.49
2021-03-04 17:30:32.2100,0.42,0.03,-0.26,0.49
2021-03-04 17:30:32.2180,0.33,-0.07,-0.21,0.39
2021-03-04 17:30:32.2280,0.19,-0.11,-0.19,0.29
2021-03-04 17:30:32.2380,0.05,-0.05,-0.14,0.15
2021-03-04 17:30:32.2480,-0.03,-0.01,-0.04,0.05
2021-03-04 17:30:32.2580,-0.07,0.03,0.07,0.1
2021-03-04 17:30:32.2680,-0.04,0.07,0.14,0.16
2021-03-04 17:30:32.2780,-0.01,0.17,0.19,0.25
2021-03-04 17:30:32.2890,-0.03,0.4,0.1,0.41
2021-03-04 17:30:32.3100,-0.08,0.52,-0.03,0.52
2021-03-04 17:30:32.3130,0.02,-0.03,-0.09,0.09
2021-03-04 17:30:32.3170,0.02,-0.25,-0.11,0.27
2021-03-04 17:30:32.3350,0.05,-0.42,-0.06,0.42
2021-03-04 17:30:32.3370,0.21,-0.66,-0.02,0.69
2021-03-04 17:30:32.3510,0.27,-0.56,0.11,0.63
2021-03-04 17:30:32.3570,0.1,-0.19,0.06,0.22
2021-03-04 17:30:32.3670,-0.06,0.1,-0.01,0.11
2021-03-04 17:30:32.3770,-0.17,0.26,-0.03,0.31
2021-03-04 17:30:32.3870,-0.21,0.28,-0.05,0.35
2021-03-04 17:30:32.4000,-0.2,0.29,0.0,0.35
2021-03-04 17:30:32.4060,-0.18,0.29,0.04,0.34
2021-03-04 17:30:32.4170,-0.15,0.19,0.11,0.26
2021-03-04 17:30:32.4270,-0.09,0.06,0.18,0.21
2021-03-04 17:30:32.4360,-0.07,0.05,0.22,0.23
2021-03-04 17:30:32.4460,-0.08,0.03,0.19,0.2
2021-03-04 17:30:32.4560,-0.09,0.0,0.1,0.13
2021-03-04 17:30:32.4660,-0.07,0.02,0.0,0.07
2021-03-04 17:30:32.4770,-0.03,0.05,-0.09,0.1
2021-03-04 17:30:32.4860,-0.01,0.11,-0.21,0.23
2021-03-04 17:30:32.5030,0.01,0.08,-0.27,0.28
2021-03-04 17:30:32.5060,0.0,0.02,-0.24,0.24
2021-03-04 17:30:32.5160,0.0,-0.02,-0.22,0.22
2021-03-04 17:30:32.5260,0.01,-0.1,-0.1,0.14
2021-03-04 17:30:32.5360,0.0,-0.16,0.04,0.16
2021-03-04 17:30:32.5460,-0.01,-0.18,0.1,0.2
2021-03-04 17:30:32.5560,-0.02,-0.09,0.13,0.15
2021-03-04 17:30:32.5660,0.01,0.05,0.1,0.11
2021-03-04 17:30:32.5760,0.07,0.14,0.04,0.16
2021-03-04 17:30:32.5860,0.16,0.19,0.02,0.24
2021-03-04 17:30:32.6040,0.23,0.15,0.06,0.28
2021-03-04 17:30:32.6060,0.21,0.12,0.12,0.26
2021-03-04 17:30:32.6150,0.15,0.14,0.2,0.28
2021-03-04 17:30:32.6250,0.07,0.13,0.27,0.3
2021-03-04 17:30:32.6360,0.03,0.11,0.3,0.32
2021-03-04 17:30:32.6460,0.04,0.04,0.23,0.23
2021-03-04 17:30:32.6550,0.09,-0.1,0.07,0.15
2021-03-04 17:30:32.6650,0.17,-0.19,0.02,0.25
2021-03-04 17:30:32.6770,0.16,-0.15,-0.05,0.22
2021-03-04 17:30:32.6860,0.07,0.03,-0.17,0.18
2021-03-04 17:30:32.7040,0.04,0.1,-0.28,0.3
2021-03-04 17:30:32.7070,0.17,-0.13,-0.36,0.41
2021-03-04 17:30:32.7150,0.35,-0.4,-0.3,0.61
2021-03-04 17:30:32.7250,0.48,-0.56,-0.16,0.75
2021-03-04 17:30:32.7350,0.52,-0.47,-0.02,0.7
2021-03-04 17:30:32.7450,0.46,-0.27,0.09,0.54
2021-03-04 17:30:32.7550,0.33,-0.09,0.23,0.41
2021-03-04 17:30:32.7650,0.13,0.02,0.3,0.32
2021-03-04 17:30:32.7750,0.0,0.23,0.17,0.28
2021-03-04 17:30:32.7840,-0.13,0.53,0.17,0.57
2021-03-04 17:30:32.8020,-0.2,0.79,0.08,0.81
2021-03-04 17:30:32.8040,-0.11,0.71,-0.08,0.72
2021-03-04 17:30:32.8140,0.07,0.27,-0.02,0.27
2021-03-04 17:30:32.8240,0.19,-0.13,0.08,0.24
2021-03-04 17:30:32.8340,0.18,-0.35,-0.01,0.39
2021-03-04 17:30:32.8440,0.08,-0.44,-0.07,0.45
2021-03-04 17:30:32.8540,-0.05,-0.34,-0.13,0.36
2021-03-04 17:30:32.8640,-0.19,-0.11,-0.2,0.29
2021-03-04 17:30:32.8740,-0.29,0.06,-0.22,0.36
2021-03-04 17:30:32.8840,-0.35,0.2,-0.18,0.44
2021-03-04 17:30:32.9020,-0.34,0.24,-0.22,0.47
2021-03-04 17:30:32.9040,-0.34,0.15,-0.05,0.37
2021-03-04 17:30:32.9130,-0.41,0.03,0.13,0.43
2021-03-04 17:30:32.9240,-0.36,-0.53,0.21,0.67
2021-03-04 17:30:32.9330,-0.25,-0.95,0.37,1.04
2021-03-04 17:30:32.9430,-0.08,-0.89,0.29,0.93
2021-03-04 17:30:32.9530,-0.12,0.24,0.26,0.37
2021-03-04 17:30:32.9630,-0.17,0.5,0.05,0.53
2021-03-04 17:30:32.9730,0.04,0.28,0.16,0.32
2021-03-04 17:30:32.9840,0.14,0.17,0.19,0.29
2021-03-04 17:30:33.0030,0.22,0.04,0.02,0.22
2021-03-04 17:30:33.0050,0.3,0.05,-0.16,0.34
2021-03-04 17:30:33.0120,0.31,0.01,-0.22,0.38
2021-03-04 17:30:33.0220,0.33,-0.05,-0.19,0.38
2021-03-04 17:30:33.0330,0.41,0.05,-0.12,0.43
2021-03-04 17:30:33.0430,0.31,-0.06,0.12,0.33
2021-03-04 17:30:33.0530,0.14,-0.02,0.03,0.14
2021-03-04 17:30:33.0630,0.16,-0.05,-0.22,0.27
2021-03-04 17:30:33.0730,0.14,-0.07,0.11,0.19
2021-03-04 17:30:33.0820,0.13,0.07,0.45,0.47
2021-03-04 17:30:33.1010,0.19,-0.02,0.49,0.52
2021-03-04 17:30:33.1030,0.19,-0.12,0.52,0.56
2021-03-04 17:30:33.1120,0.1,-0.09,0.46,0.47
2021-03-04 17:30:33.1220,0.06,-0.13,0.28,0.31
2021-03-04 17:30:33.1320,0.01,-0.24,0.16,0.28
2021-03-04 17:30:33.1420,0.0,-0.29,0.11,0.31
2021-03-04 17:30:33.1520,0.02,-0.27,0.16,0.31
2021-03-04 17:30:33.1620,0.0,-0.27,0.17,0.31
2021-03-04 17:30:33.1730,0.02,-0.18,0.22,0.28
2021-03-04 17:30:33.1820,0.04,-0.16,0.3,0.34
2021-03-04 17:30:33.2010,0.1,-0.26,0.31,0.41
2021-03-04 17:30:33.2030,0.13,-0.32,0.35,0.49
2021-03-04 17:30:33.2110,0.17,-0.32,0.26,0.44
2021-03-04 17:30:33.2210,0.18,-0.22,0.19,0.34
2021-03-04 17:30:33.2310,0.19,-0.19,0.1,0.28
2021-03-04 17:30:33.2420,0.21,-0.19,-0.03,0.28
2021-03-04 17:30:33.2510,0.25,-0.19,-0.11,0.33
2021-03-04 17:30:33.2610,0.26,-0.17,-0.16,0.34
2021-03-04 17:30:33.2720,0.25,-0.18,-0.16,0.34
2021-03-04 17:30:33.2810,0.23,-0.24,-0.16,0.36
2021-03-04 17:30:33.3000,0.16,-0.23,-0.1,0.29
2021-03-04 17:30:33.3030,0.09,-0.18,-0.03,0.2
2021-03-04 17:30:33.3110,0.05,-0.07,-0.01,0.08
2021-03-04 17:30:33.3210,0.0,0.02,0.14,0.14
2021-03-04 17:30:33.3310,-0.03,0.21,0.19,0.28
2021-03-04 17:30:33.3400,-0.03,0.33,0.05,0.33
2021-03-04 17:30:33.3510,-0.05,0.39,-0.09,0.4
2021-03-04 17:30:33.3610,-0.05,0.47,-0.29,0.55
2021-03-04 17:30:33.3720,-0.09,0.52,-0.48,0.71
2021-03-04 17:30:33.3810,-0.13,0.67,-0.54,0.87
2021-03-04 17:30:33.4010,-0.18,0.74,-0.65,1.0
2021-03-04 17:30:33.4030,-0.2,0.71,-0.72,1.03
2021-03-04 17:30:33.4100,-0.22,0.53,-0.5,0.76
2021-03-04 17:30:33.4200,-0.17,0.29,-0.36,0.49
2021-03-04 17:30:33.4300,-0.14,0.02,-0.14,0.19
2021-03-04 17:30:33.4400,-0.16,-0.17,0.12,0.26
2021-03-04 17:30:33.4500,-0.21,-0.27,0.29,0.44
2021-03-04 17:30:33.4600,-0.28,-0.24,0.4,0.54
2021-03-04 17:30:33.4700,-0.42,-0.14,0.47,0.64
2021-03-04 17:30:33.4800,-0.53,-0.09,0.37,0.65
2021-03-04 17:30:33.5010,-0.48,-0.08,0.15,0.5
2021-03-04 17:30:33.5030,-0.49,-0.11,0.11,0.51
2021-03-04 17:30:33.5090,-0.38,-0.01,-0.08,0.38
2021-03-04 17:30:33.5190,-0.17,0.02,-0.53,0.55
2021-03-04 17:30:33.5300,0.05,0.15,-0.77,0.78
2021-03-04 17:30:33.5390,0.28,0.29,-0.94,1.02
2021-03-04 17:30:33.5490,0.46,0.41,-0.98,1.15
2021-03-04 17:30:33.5590,0.61,0.46,-0.87,1.15
2021-03-04 17:30:33.5690,0.7,0.33,-0.62,0.99
2021-03-04 17:30:33.5800,0.71,0.09,-0.24,0.75
2021-03-04 17:30:33.5980,0.61,-0.09,0.13,0.63
2021-03-04 17:30:33.6000,0.47,-0.12,0.41,0.63
2021-03-04 17:30:33.6090,0.33,-0.06,0.61,0.69
2021-03-04 17:30:33.6190,0.19,0.01,0.68,0.7
2021-03-04 17:30:33.6290,0.06,-0.01,0.65,0.65
2021-03-04 17:30:33.6390,-0.06,-0.17,0.61,0.63
2021-03-04 17:30:33.6490,-0.09,-0.42,0.53,0.68
2021-03-04 17:30:33.6590,-0.02,-0.67,0.41,0.78
2021-03-04 17:30:33.6690,0.07,-0.85,0.32,0.91
2021-03-04 17:30:33.6790,0.12,-0.85,0.21,0.88
2021-03-04 17:30:33.6980,0.1,-0.68,0.09,0.69
2021-03-04 17:30:33.7000,0.04,-0.35,-0.06,0.35
2021-03-04 17:30:33.7080,-0.06,-0.02,-0.05,0.08
2021-03-04 17:30:33.7180,-0.2,0.23,0.05,0.3
2021-03-04 17:30:33.7280,-0.34,0.45,0.04,0.56
2021-03-04 17:30:33.7380,-0.41,0.58,-0.09,0.71
2021-03-04 17:30:33.7480,-0.38,0.64,-0.31,0.8
2021-03-04 17:30:33.7580,-0.32,0.63,-0.46,0.84
2021-03-04 17:30:33.7680,-0.19,0.74,-0.7,1.03
2021-03-04 17:30:33.7790,-0.09,0.72,-0.95,1.19
