time,ax,ay,az,atotal
2021-03-04 17:28:14.5550,-0.04,0.08,-0.1,0.13
2021-03-04 17:28:14.5650,-0.01,-0.07,-0.04,0.08
2021-03-04 17:28:14.5760,-0.03,0.01,0.06,0.06
2021-03-04 17:28:14.5850,-0.04,0.09,0.14,0.17
2021-03-04 17:28:14.5950,-0.03,0.05,0.12,0.13
2021-03-04 17:28:14.6060,-0.01,0.0,0.04,0.04
2021-03-04 17:28:14.6240,0.01,-0.01,-0.04,0.04
2021-03-04 17:28:14.6260,0.01,0.02,-0.06,0.06
2021-03-04 17:28:14.6350,-0.04,0.04,-0.06,0.08
2021-03-04 17:28:14.6450,-0.1,0.04,-0.04,0.11
2021-03-04 17:28:14.6550,-0.14,0.04,-0.07,0.16
2021-03-04 17:28:14.6650,-0.13,0.04,-0.12,0.18
2021-03-04 17:28:14.6750,-0.11,0.05,-0.13,0.17
2021-03-04 17:28:14.6850,-0.14,0.0,-0.13,0.19
2021-03-04 17:28:14.6950,-0.12,-0.02,-0.13,0.17
2021-03-04 17:28:14.7050,-0.08,-0.05,-0.09,0.13
2021-03-04 17:28:14.7230,-0.07,-0.06,-0.04,0.1
2021-03-04 17:28:14.7250,-0.07,-0.05,-0.02,0.08
2021-03-04 17:28:14.7340,-0.12,0.0,-0.02,0.12
2021-03-04 17:28:14.7440,-0.16,0.05,-0.07,0.18
2021-03-04 17:28:14.7550,-0.2,0.08,-0.12,0.24
2021-03-04 17:28:14.7640,-0.2,0.08,-0.14,0.25
2021-03-04 17:28:14.7740,-0.17,0.09,-0.11,0.22
2021-03-04 17:28:14.7850,-0.14,0.08,-0.05,0.16
2021-03-04 17:28:14.7940,-0.15,0.05,0.02,0.15
2021-03-04 17:28:14.8040,-0.18,0.03,0.04,0.18
2021-03-04 17:28:14.8220,-0.17,0.01,0.01,0.17
2021-03-04 17:28:14.8250,-0.13,-0.02,-0.05,0.14
2021-03-04 17:28:14.8330,-0.08,-0.03,-0.08,0.11
2021-03-04 17:28:14.8430,-0.06,0.01,-0.08,0.1
2021-03-04 17:28:14.8540,-0.05,0.03,-0.05,0.07
2021-03-04 17:28:14.8640,-0.02,0.07,-0.06,0.09
2021-03-04 17:28:14.8740,0.03,0.1,-0.03,0.1
2021-03-04 17:28:14.8830,0.06,0.1,0.03,0.12
2021-03-04 17:28:14.8930,0.09,0.05,0.06,0.11
2021-03-04 17:28:14.9030,0.14,-0.02,0.01,0.14
2021-03-04 17:28:14.9210,0.14,-0.04,-0.02,0.14
2021-03-04 17:28:14.9230,0.11,-0.05,-0.01,0.12
2021-03-04 17:28:14.9330,0.05,-0.03,-0.02,0.06
2021-03-04 17:28:14.9430,0.01,0.02,-0.02,0.03
2021-03-04 17:28:14.9530,0.01,0.06,0.0,0.06
2021-03-04 17:28:14.9630,0.01,0.06,0.01,0.06
2021-03-04 17:28:14.9730,-0.01,0.05,0.01,0.05
2021-03-04 17:28:14.9830,-0.03,0.04,-0.02,0.05
2021-03-04 17:28:14.9930,-0.03,0.02,-0.05,0.06
2021-03-04 17:28:15.0030,-0.01,0.01,-0.07,0.07
2021-03-04 17:28:15.0210,0.0,0.01,-0.06,0.06
2021-03-04 17:28:15.0230,-0.01,0.03,-0.04,0.05
2021-03-04 17:28:15.0330,-0.04,0.05,0.01,0.06
2021-03-04 17:28:15.0420,-0.09,0.06,0.0,0.1
2021-03-04 17:28:15.0520,-0.12,0.05,-0.02,0.13
2021-03-04 17:28:15.0630,-0.1,0.04,-0.02,0.1
2021-03-04 17:28:15.0720,-0.06,0.02,0.0,0.06
2021-03-04 17:28:15.0820,-0.01,-0.01,0.02,0.02
2021-03-04 17:28:15.0920,0.02,0.0,0.04,0.04
2021-03-04 17:28:15.1030,0.01,0.02,0.05,0.05
2021-03-04 17:28:15.1220,-0.02,0.09,0.02,0.09
2021-03-04 17:28:15.1240,-0.03,0.13,-0.06,0.14
2021-03-04 17:28:15.1320,-0.01,0.12,-0.1,0.15
2021-03-04 17:28:15.1410,0.02,0.09,-0.09,0.12
2021-03-04 17:28:15.1520,0.07,0.07,-0.08,0.12
2021-03-04 17:28:15.1610,0.11,0.05,-0.08,0.14
2021-03-04 17:28:15.1720,0.17,0.0,-0.08,0.18
2021-03-04 17:28:15.1820,0.22,-0.02,-0.15,0.26
2021-03-04 17:28:15.1910,0.27,0.0,-0.28,0.38
2021-03-04 17:28:15.2020,0.26,0.0,-0.33,0.42
2021-03-04 17:28:15.2210,0.26,-0.01,-0.3,0.39
2021-03-04 17:28:15.2220,0.26,-0.04,-0.16,0.3
2021-03-04 17:28:15.2310,0.23,-0.05,-0.02,0.23
2021-03-04 17:28:15.2410,0.18,0.0,0.13,0.22
2021-03-04 17:28:15.2510,0.09,0.02,0.22,0.23
2021-03-04 17:28:15.2610,-0.01,0.03,0.21,0.21
2021-03-04 17:28:15.2710,-0.1,0.02,0.1,0.14
2021-03-04 17:28:15.2810,-0.14,0.0,0.0,0.14
2021-03-04 17:28:15.2910,-0.09,-0.02,-0.04,0.1
2021-03-04 17:28:15.3010,0.0,-0.03,0.0,0.03
2021-03-04 17:28:15.3200,0.14,-0.03,0.07,0.15
2021-03-04 17:28:15.3220,0.3,-0.05,0.12,0.32
2021-03-04 17:28:15.3300,0.36,-0.07,0.11,0.38
2021-03-04 17:28:15.3400,0.34,-0.07,0.05,0.35
2021-03-04 17:28:15.3500,0.25,-0.04,-0.04,0.25
2021-03-04 17:28:15.3600,0.06,-0.01,-0.1,0.11
2021-03-04 17:28:15.3710,-0.12,0.03,-0.11,0.16
2021-03-04 17:28:15.3810,-0.24,0.08,-0.13,0.28
2021-03-04 17:28:15.3900,-0.25,0.1,-0.11,0.29
2021-03-04 17:28:15.4000,-0.19,0.09,-0.03,0.21
2021-03-04 17:28:15.4200,-0.1,0.05,0.05,0.12
2021-03-04 17:28:15.4220,-0.01,-0.01,0.1,0.1
2021-03-04 17:28:15.4300,0.03,-0.07,0.11,0.13
2021-03-04 17:28:15.4400,0.05,-0.09,0.13,0.16
2021-03-04 17:28:15.4490,0.05,-0.06,0.12,0.14
2021-03-04 17:28:15.4600,0.06,0.01,0.11,0.12
2021-03-04 17:28:15.4700,0.05,0.07,0.1,0.13
2021-03-04 17:28:15.4790,0.05,0.11,0.09,0.15
2021-03-04 17:28:15.4900,0.04,0.12,0.05,0.13
2021-03-04 17:28:15.5000,0.02,0.13,0.02,0.13
2021-03-04 17:28:15.5190,0.03,0.12,0.01,0.12
2021-03-04 17:28:15.5210,0.05,0.07,-0.01,0.08
2021-03-04 17:28:15.5290,0.05,0.02,-0.03,0.06
2021-03-04 17:28:15.5390,0.03,-0.03,-0.05,0.06
2021-03-04 17:28:15.5490,0.02,-0.05,-0.07,0.08
2021-03-04 17:28:15.5590,0.02,-0.03,-0.1,0.1
2021-03-04 17:28:15.5690,0.04,0.01,-0.08,0.09
2021-03-04 17:28:15.5780,0.03,0.04,-0.05,0.07
2021-03-04 17:28:15.5890,0.04,0.03,-0.08,0.09
2021-03-04 17:28:15.5990,0.04,0.02,-0.11,0.11
2021-03-04 17:28:15.6180,0.02,0.01,-0.06,0.06
2021-03-04 17:28:15.6210,0.01,0.0,0.0,0.01
2021-03-04 17:28:15.6280,0.02,-0.01,0.04,0.04
2021-03-04 17:28:15.6380,0.04,-0.01,0.06,0.07
2021-03-04 17:28:15.6480,0.02,0.01,0.08,0.08
2021-03-04 17:28:15.6580,-0.05,0.02,0.07,0.08
2021-03-04 17:28:15.6690,-0.12,0.04,0.01,0.12
2021-03-04 17:28:15.6780,-0.13,0.06,-0.03,0.14
2021-03-04 17:28:15.6880,-0.09,0.07,-0.03,0.11
2021-03-04 17:28:15.6980,-0.04,0.09,0.01,0.09
2021-03-04 17:28:15.7180,0.03,0.1,0.06,0.12
2021-03-04 17:28:15.7200,0.05,0.08,0.13,0.16
2021-03-04 17:28:15.7280,-0.03,0.05,0.16,0.17
2021-03-04 17:28:15.7380,-0.14,0.0,0.14,0.19
2021-03-04 17:28:15.7480,-0.21,-0.03,0.1,0.23
2021-03-04 17:28:15.7580,-0.24,-0.05,0.02,0.24
2021-03-04 17:28:15.7670,-0.24,-0.05,-0.04,0.24
2021-03-04 17:28:15.7780,-0.21,0.02,-0.05,0.21
2021-03-04 17:28:15.7870,-0.15,0.11,-0.06,0.19
2021-03-04 17:28:15.7970,-0.1,0.15,-0.06,0.19
2021-03-04 17:28:15.8160,-0.04,0.14,-0.05,0.15
2021-03-04 17:28:15.8190,0.03,0.09,-0.08,0.12
2021-03-04 17:28:15.8270,0.1,0.0,-0.06,0.11
2021-03-04 17:28:15.8370,0.15,-0.08,-0.04,0.17
2021-03-04 17:28:15.8470,0.19,-0.13,-0.02,0.23
2021-03-04 17:28:15.8570,0.19,-0.12,-0.03,0.22
2021-03-04 17:28:15.8670,0.17,-0.04,-0.06,0.18
2021-03-04 17:28:15.8770,0.12,0.06,-0.11,0.17
2021-03-04 17:28:15.8870,0.06,0.11,-0.13,0.18
2021-03-04 17:28:15.8970,0.02,0.12,-0.15,0.19
2021-03-04 17:28:15.9160,0.0,0.08,-0.16,0.17
2021-03-04 17:28:15.9190,-0.02,0.02,-0.17,0.17
2021-03-04 17:28:15.9260,-0.01,-0.05,-0.15,0.15
2021-03-04 17:28:15.9360,0.02,-0.08,-0.11,0.13
2021-03-04 17:28:15.9460,0.01,-0.09,-0.08,0.12
2021-03-04 17:28:15.9560,-0.01,-0.09,-0.04,0.09
2021-03-04 17:28:15.9660,-0.05,-0.04,-0.03,0.07
2021-03-04 17:28:15.9770,-0.06,-0.01,-0.07,0.09
2021-03-04 17:28:15.9860,-0.09,0.02,-0.12,0.15
2021-03-04 17:28:15.9960,-0.11,0.05,-0.18,0.21
2021-03-04 17:28:16.0150,-0.16,0.08,-0.22,0.28
2021-03-04 17:28:16.0170,-0.16,0.08,-0.22,0.28
2021-03-04 17:28:16.0260,-0.15,0.07,-0.24,0.29
2021-03-04 17:28:16.0360,-0.12,0.04,-0.24,0.27
2021-03-04 17:28:16.0450,-0.08,-0.01,-0.22,0.23
2021-03-04 17:28:16.0550,-0.08,-0.04,-0.19,0.21
2021-03-04 17:28:16.0660,-0.07,-0.02,-0.17,0.18
2021-03-04 17:28:16.0760,-0.07,0.0,-0.18,0.19
2021-03-04 17:28:16.0860,-0.06,0.02,-0.18,0.19
2021-03-04 17:28:16.0950,-0.08,0.0,-0.16,0.17
2021-03-04 17:28:16.1140,-0.08,-0.01,-0.11,0.13
2021-03-04 17:28:16.1160,-0.07,-0.06,-0.06,0.11
2021-03-04 17:28:16.1250,-0.04,-0.1,0.01,0.1
