time,ax,ay,az
2021-03-04 17:29:03.2400,-0.25,0.25,-0.17
2021-03-04 17:29:03.2510,-0.17,0.05,-0.08
2021-03-04 17:29:03.2610,-0.02,0.01,0.03
2021-03-04 17:29:03.2710,0.02,-0.09,0.08
2021-03-04 17:29:03.2800,0.01,-0.17,0.06
2021-03-04 17:29:03.2980,0.02,-0.15,0.01
2021-03-04 17:29:03.3000,0.02,-0.14,0.02
2021-03-04 17:29:03.3100,0.05,-0.15,0.08
2021-03-04 17:29:03.3200,0.04,-0.13,0.07
2021-03-04 17:29:03.3300,-0.01,-0.1,0.02
2021-03-04 17:29:03.3400,-0.1,-0.01,-0.02
2021-03-04 17:29:03.3510,-0.16,0.09,-0.02
2021-03-04 17:29:03.3600,-0.15,0.12,-0.01
2021-03-04 17:29:03.3700,-0.11,0.13,0.01
2021-03-04 17:29:03.3800,-0.06,0.08,0.01
2021-03-04 17:29:03.3950,-0.01,0.05,0.01
2021-03-04 17:29:03.3990,0.04,0.07,0
2021-03-04 17:29:03.4090,0.05,0.08,-0.07
2021-03-04 17:29:03.4190,0.03,0.06,-0.12
2021-03-04 17:29:03.4290,0.03,0.03,-0.1
2021-03-04 17:29:03.4390,0.04,0,-0.09
2021-03-04 17:29:03.4490,0.07,-0.03,-0.07
2021-03-04 17:29:03.4600,0.11,-0.07,-0.06
2021-03-04 17:29:03.4700,0.08,-0.1,-0.07
2021-03-04 17:29:03.4790,0.03,-0.09,-0.09
2021-03-04 17:29:03.4990,0.04,-0.04,-0.13
2021-03-04 17:29:03.5020,0.09,0.02,-0.16
2021-03-04 17:29:03.5090,0.14,0.06,-0.17
2021-03-04 17:29:03.5180,0.12,0.03,-0.17
2021-03-04 17:29:03.5290,0.09,0,-0.15
2021-03-04 17:29:03.5380,0.09,0.02,-0.15
2021-03-04 17:29:03.5490,-0.01,0.01,-0.19
2021-03-04 17:29:03.5590,-0.08,-0.06,-0.2
2021-03-04 17:29:03.5690,-0.07,-0.03,-0.13
2021-03-04 17:29:03.5780,-0.18,0.37,-0.17
2021-03-04 17:29:03.5970,-0.01,0.64,-0.3
2021-03-04 17:29:03.6000,0.28,0.43,-0.29
2021-03-04 17:29:03.6080,0.4,0.32,-0.2
2021-03-04 17:29:03.6180,0.39,0.29,-0.22
2021-03-04 17:29:03.6280,0.26,0.3,-0.23
2021-03-04 17:29:03.6380,0.16,0.16,-0.2
2021-03-04 17:29:03.6480,0.16,-0.05,-0.15
2021-03-04 17:29:03.6590,0.21,-0.14,-0.07
2021-03-04 17:29:03.6690,0.24,-0.18,0.04
2021-03-04 17:29:03.6780,0.25,-0.22,0.12
2021-03-04 17:29:03.6960,0.25,-0.21,0.12
2021-03-04 17:29:03.6980,0.18,-0.14,0.03
2021-03-04 17:29:03.7070,0.07,-0.07,-0.06
2021-03-04 17:29:03.7170,-0.02,-0.07,-0.1
2021-03-04 17:29:03.7270,-0.07,-0.12,-0.1
2021-03-04 17:29:03.7370,0,-0.17,-0.11
2021-03-04 17:29:03.7480,0.16,-0.13,-0.13
2021-03-04 17:29:03.7580,0.32,-0.04,-0.16
2021-03-04 17:29:03.7680,0.41,0.02,-0.19
2021-03-04 17:29:03.7770,0.45,0.1,-0.2
2021-03-04 17:29:03.7970,0.43,0.13,-0.25
2021-03-04 17:29:03.7990,0.29,0.09,-0.3
2021-03-04 17:29:03.8070,0.12,0.09,-0.3
2021-03-04 17:29:03.8170,-0.02,0.01,-0.29
2021-03-04 17:29:03.8270,-0.14,0.08,-0.21
2021-03-04 17:29:03.8370,-0.29,0.07,-0.18
2021-03-04 17:29:03.8480,-0.36,0.22,-0.11
2021-03-04 17:29:03.8570,-0.37,0.25,-0.11
2021-03-04 17:29:03.8670,-0.32,0.34,-0.15
2021-03-04 17:29:03.8770,-0.37,0.47,-0.22
2021-03-04 17:29:03.8960,-0.51,0.58,-0.18
2021-03-04 17:29:03.8980,-0.67,0.52,-0.09
2021-03-04 17:29:03.9060,-0.76,0.36,-0.03
2021-03-04 17:29:03.9160,-0.87,0.26,0.06
2021-03-04 17:29:03.9260,-0.95,0.22,0.22
2021-03-04 17:29:03.9360,-0.99,0.15,0.36
2021-03-04 17:29:03.9470,-0.91,0.04,0.42
2021-03-04 17:29:03.9560,-0.87,-0.05,0.42
2021-03-04 17:29:03.9660,-0.88,-0.1,0.38
2021-03-04 17:29:03.9760,-0.71,-0.17,0.28
2021-03-04 17:29:03.9950,-0.4,-0.19,0.2
2021-03-04 17:29:03.9980,-0.11,-0.19,0.23
2021-03-04 17:29:04.0060,0.23,-0.29,0.24
2021-03-04 17:29:04.0150,0.46,-0.37,0.25
2021-03-04 17:29:04.0250,0.61,-0.35,0.23
2021-03-04 17:29:04.0350,0.75,-0.3,0.18
2021-03-04 17:29:04.0460,0.82,-0.21,0.11
2021-03-04 17:29:04.0560,0.75,-0.09,0.05
2021-03-04 17:29:04.0650,0.56,-0.01,0.05
2021-03-04 17:29:04.0750,0.29,0.02,0.1
2021-03-04 17:29:04.0940,0.01,-0.01,0.21
2021-03-04 17:29:04.0970,-0.15,-0.02,0.26
2021-03-04 17:29:04.1050,-0.24,-0.03,0.27
2021-03-04 17:29:04.1150,-0.32,0.06,0.26
2021-03-04 17:29:04.1250,-0.35,0.13,0.23
2021-03-04 17:29:04.1340,-0.36,0.21,0.15
2021-03-04 17:29:04.1450,-0.33,0.21,0.01
2021-03-04 17:29:04.1550,-0.27,0.16,-0.12
2021-03-04 17:29:04.1640,-0.24,0.16,-0.17
2021-03-04 17:29:04.1750,-0.19,0.14,-0.13
2021-03-04 17:29:04.1930,-0.16,0.11,-0.08
