time,gFx,gFy,gFz,TgF
1.191000,-0.0558,0.9998,-0.0103,1.001
1.192000,-0.0558,1.0004,-0.0101,1.002
1.193000,-0.0548,1.0004,-0.0105,1.002
1.193000,-0.0542,1.0000,-0.0112,1.002
1.194000,-0.0538,1.0007,-0.0126,1.002
1.194000,-0.0538,1.0005,-0.0129,1.002
1.194000,-0.0545,1.0007,-0.0138,1.002
1.198000,-0.0554,1.0014,-0.0132,1.003
1.202000,-0.0558,1.0011,-0.0133,1.003
1.202000,-0.0564,1.0013,-0.0132,1.003
1.203000,-0.0575,1.0011,-0.0121,1.003
1.204000,-0.0581,1.0009,-0.0105,1.003
1.206000,-0.0586,1.0003,-0.0089,1.002
1.208000,-0.0592,1.0005,-0.0078,1.002
1.213000,-0.0606,1.0006,-0.0064,1.002
1.214000,-0.0602,1.0005,-0.0047,1.002
1.215000,-0.0598,1.0012,-0.0029,1.003
1.216000,-0.0594,1.0014,-0.0018,1.003
1.221000,-0.0583,1.0013,-0.0001,1.003
1.221000,-0.0583,1.0016,0.0007,1.003
1.222000,-0.0592,1.0018,0.0020,1.004
1.224000,-0.0607,1.0026,0.0040,1.004
1.226000,-0.0615,1.0029,0.0050,1.005
1.229000,-0.0620,1.0033,0.0061,1.005
1.231000,-0.0643,1.0032,0.0072,1.005
1.232000,-0.0659,1.0032,0.0072,1.005
1.234000,-0.0674,1.0029,0.0071,1.005
1.236000,-0.0693,1.0020,0.0071,1.004
1.238000,-0.0696,1.0026,0.0064,1.005
1.240000,-0.0689,1.0023,0.0055,1.005
1.242000,-0.0691,1.0025,0.0038,1.005
1.247000,-0.0688,1.0023,0.0015,1.005
1.248000,-0.0688,1.0025,-0.0020,1.005
1.248000,-0.0679,1.0024,-0.0043,1.005
1.249000,-0.0684,1.0023,-0.0074,1.005
1.252000,-0.0686,1.0021,-0.0091,1.004
1.254000,-0.0685,1.0017,-0.0120,1.004
1.256000,-0.0675,1.0013,-0.0149,1.004
1.258000,-0.0667,1.0011,-0.0171,1.003
1.260000,-0.0645,1.0011,-0.0180,1.003
1.263000,-0.0626,1.0012,-0.0184,1.003
1.264000,-0.0610,1.0012,-0.0179,1.003
1.266000,-0.0599,1.0011,-0.0160,1.003
1.267000,-0.0590,1.0000,-0.0140,1.002
1.270000,-0.0576,0.9995,-0.0122,1.001
1.272000,-0.0562,0.9996,-0.0113,1.001
1.274000,-0.0560,0.9999,-0.0103,1.002
1.275000,-0.0558,1.0007,-0.0097,1.002
1.281000,-0.0562,1.0009,-0.0104,1.002
1.285000,-0.0572,1.0016,-0.0106,1.003
1.286000,-0.0583,1.0020,-0.0111,1.004
1.287000,-0.0597,1.0026,-0.0110,1.004
1.287000,-0.0610,1.0023,-0.0101,1.004
1.288000,-0.0635,1.0024,-0.0086,1.004
1.290000,-0.0657,1.0026,-0.0068,1.005
1.292000,-0.0674,1.0029,-0.0047,1.005
1.300000,-0.0674,1.0028,-0.0042,1.005
1.307000,-0.0685,1.0024,-0.0046,1.005
1.308000,-0.0686,1.0022,-0.0056,1.005
1.308000,-0.0694,1.0029,-0.0066,1.005
1.308000,-0.0698,1.0035,-0.0079,1.006
1.309000,-0.0701,1.0029,-0.0094,1.005
1.309000,-0.0718,1.0022,-0.0102,1.005
1.309000,-0.0732,1.0023,-0.0100,1.005
1.310000,-0.0746,1.0025,-0.0083,1.005
1.312000,-0.0761,1.0025,-0.0061,1.005
1.314000,-0.0774,1.0029,-0.0038,1.006
1.315000,-0.0781,1.0034,-0.0028,1.006
1.318000,-0.0783,1.0034,-0.0024,1.006
1.320000,-0.0785,1.0036,-0.0032,1.007
1.322000,-0.0787,1.0032,-0.0040,1.006
1.324000,-0.0791,1.0031,-0.0050,1.006
1.326000,-0.0805,1.0027,-0.0061,1.006
1.330000,-0.0813,1.0030,-0.0050,1.006
1.331000,-0.0822,1.0030,-0.0031,1.006
1.332000,-0.0822,1.0029,-0.0015,1.006
1.334000,-0.0820,1.0026,-0.0007,1.006
1.335000,-0.0820,1.0034,0.0001,1.007
1.338000,-0.0812,1.0027,0.0011,1.006
1.340000,-0.0802,1.0032,0.0016,1.006
1.341000,-0.0788,1.0033,0.0023,1.006
1.346000,-0.0789,1.0034,0.0027,1.007
1.347000,-0.0792,1.0043,0.0022,1.007
1.348000,-0.0804,1.0043,0.0020,1.007
1.349000,-0.0812,1.0039,0.0023,1.007
1.351000,-0.0835,1.0038,0.0026,1.007
1.353000,-0.0851,1.0035,0.0030,1.007
1.356000,-0.0849,1.0036,0.0035,1.007
1.357000,-0.0848,1.0034,0.0034,1.007
1.359000,-0.0853,1.0033,0.0040,1.007
1.366000,-0.0850,1.0028,0.0041,1.006
1.367000,-0.0846,1.0026,0.0045,1.006
1.367000,-0.0826,1.0026,0.0052,1.006
1.368000,-0.0817,1.0029,0.0058,1.006
1.370000,-0.0807,1.0035,0.0069,1.007
1.372000,-0.0800,1.0038,0.0076,1.007
1.374000,-0.0796,1.0040,0.0076,1.007
1.376000,-0.0793,1.0039,0.0080,1.007
1.379000,-0.0799,1.0039,0.0079,1.007
1.381000,-0.0804,1.0043,0.0073,1.008
1.382000,-0.0804,1.0043,0.0074,1.008
1.386000,-0.0805,1.0045,0.0077,1.008
1.386000,-0.0805,1.0043,0.0075,1.008
1.388000,-0.0801,1.0038,0.0073,1.007
1.390000,-0.0789,1.0031,0.0075,1.006
1.391000,-0.0787,1.0033,0.0072,1.006
1.394000,-0.0782,1.0035,0.0061,1.007
1.397000,-0.0777,1.0034,0.0048,1.006
1.398000,-0.0766,1.0029,0.0035,1.006
1.400000,-0.0755,1.0018,0.0023,1.005
1.402000,-0.0746,1.0016,0.0004,1.004
1.404000,-0.0723,1.0019,-0.0007,1.005
1.409000,-0.0700,1.0019,-0.0011,1.004
1.410000,-0.0686,1.0010,-0.0017,1.003
1.410000,-0.0666,1.0012,-0.0032,1.003
1.413000,-0.0658,1.0014,-0.0047,1.004
1.415000,-0.0642,1.0011,-0.0063,1.003
1.415000,-0.0616,1.0018,-0.0069,1.004
1.417000,-0.0610,1.0021,-0.0078,1.004
1.420000,-0.0601,1.0022,-0.0090,1.004
1.422000,-0.0591,1.0025,-0.0100,1.004
1.424000,-0.0595,1.0023,-0.0106,1.004
1.425000,-0.0604,1.0021,-0.0116,1.004
1.430000,-0.0606,1.0019,-0.0111,1.004
1.430000,-0.0615,1.0010,-0.0103,1.003
1.432000,-0.0626,1.0013,-0.0099,1.003
1.434000,-0.0630,1.0020,-0.0083,1.004
1.435000,-0.0627,1.0022,-0.0069,1.004
1.437000,-0.0626,1.0028,-0.0062,1.005
1.440000,-0.0637,1.0028,-0.0062,1.005
1.441000,-0.0644,1.0027,-0.0055,1.005
1.443000,-0.0630,1.0021,-0.0059,1.004
1.446000,-0.0636,1.0025,-0.0070,1.005
1.448000,-0.0642,1.0027,-0.0078,1.005
1.449000,-0.0644,1.0019,-0.0080,1.004
1.452000,-0.0651,1.0012,-0.0084,1.003
1.454000,-0.0656,1.0011,-0.0086,1.003
1.455000,-0.0698,1.0015,-0.0082,1.004
1.457000,-0.0748,1.0012,-0.0067,1.004
1.459000,-0.0769,1.0014,-0.0038,1.004
1.465000,-0.0802,1.0007,-0.0020,1.004
1.466000,-0.0821,1.0011,0.0002,1.004
1.466000,-0.0834,1.0021,0.0025,1.006
1.468000,-0.0837,1.0025,0.0043,1.006
1.470000,-0.0831,1.0037,0.0046,1.007
1.472000,-0.0815,1.0036,0.0035,1.007
1.474000,-0.0794,1.0025,0.0030,1.006
1.475000,-0.0778,1.0013,0.0025,1.004
1.485000,-0.0759,1.0006,0.0009,1.004
1.485000,-0.0739,1.0005,0.0001,1.003
1.485000,-0.0723,1.0007,-0.0011,1.003
1.486000,-0.0705,1.0004,-0.0028,1.003
1.486000,-0.0685,1.0018,-0.0047,1.004
1.488000,-0.0656,1.0023,-0.0059,1.004
1.490000,-0.0624,1.0016,-0.0071,1.004
1.492000,-0.0599,1.0018,-0.0087,1.004
1.494000,-0.0576,1.0017,-0.0104,1.003
1.496000,-0.0559,1.0010,-0.0121,1.003
1.497000,-0.0554,1.0009,-0.0131,1.003
1.499000,-0.0549,1.0011,-0.0153,1.003
1.502000,-0.0547,1.0013,-0.0171,1.003
1.503000,-0.0534,1.0011,-0.0180,1.003
1.505000,-0.0532,1.0017,-0.0181,1.003
1.507000,-0.0533,1.0020,-0.0172,1.004
1.509000,-0.0546,1.0021,-0.0166,1.004
1.515000,-0.0559,1.0034,-0.0152,1.005
1.516000,-0.0572,1.0037,-0.0139,1.005
1.516000,-0.0587,1.0035,-0.0132,1.005
1.517000,-0.0598,1.0041,-0.0131,1.006
1.521000,-0.0603,1.0042,-0.0127,1.006
1.521000,-0.0608,1.0044,-0.0129,1.006
1.524000,-0.0618,1.0040,-0.0130,1.006
1.526000,-0.0626,1.0037,-0.0130,1.006
1.527000,-0.0634,1.0041,-0.0120,1.006
1.530000,-0.0645,1.0046,-0.0115,1.007
1.533000,-0.0651,1.0046,-0.0110,1.007
1.533000,-0.0660,1.0039,-0.0095,1.006
1.536000,-0.0662,1.0025,-0.0078,1.005
1.538000,-0.0656,1.0024,-0.0081,1.005
1.539000,-0.0633,1.0030,-0.0079,1.005
1.541000,-0.0616,1.0032,-0.0077,1.005
1.543000,-0.0603,1.0036,-0.0089,1.005
1.546000,-0.0586,1.0034,-0.0096,1.005
1.548000,-0.0566,1.0032,-0.0097,1.005
1.549000,-0.0554,1.0026,-0.0090,1.004
1.551000,-0.0552,1.0026,-0.0091,1.004
1.554000,-0.0550,1.0021,-0.0101,1.004
1.555000,-0.0544,1.0024,-0.0108,1.004
1.557000,-0.0520,1.0038,-0.0148,1.005
1.559000,-0.0471,1.0045,-0.0269,1.006
1.564000,-0.0423,1.0040,-0.0275,1.005
1.564000,-0.0430,1.0027,-0.0151,1.004
1.566000,-0.0468,1.0007,-0.0051,1.002
1.568000,-0.0513,0.9997,-0.0008,1.001
1.570000,-0.0544,0.9997,-0.0007,1.001
1.572000,-0.0544,0.9997,-0.0045,1.001
1.574000,-0.0531,1.0012,-0.0114,1.003
1.575000,-0.0521,1.0028,-0.0186,1.004
1.577000,-0.0495,1.0036,-0.0250,1.005
1.580000,-0.0464,1.0031,-0.0294,1.005
1.582000,-0.0428,1.0026,-0.0304,1.004
1.583000,-0.0405,1.0022,-0.0271,1.003
1.585000,-0.0371,1.0007,-0.0215,1.002
1.587000,-0.0341,0.9985,-0.0170,0.999
1.589000,-0.0304,0.9968,-0.0129,0.997
1.591000,-0.0258,0.9961,-0.0105,0.996
1.593000,-0.0222,0.9950,-0.0103,0.995
1.597000,-0.0191,0.9936,-0.0126,0.994
1.598000,-0.0167,0.9928,-0.0147,0.993
1.599000,-0.0143,0.9934,-0.0155,0.994
1.603000,-0.0135,0.9945,-0.0163,0.995
1.603000,-0.0131,0.9948,-0.0174,0.995
1.606000,-0.0117,0.9955,-0.0165,0.996
1.607000,-0.0107,0.9956,-0.0156,0.996
1.609000,-0.0095,0.9954,-0.0157,0.996
1.611000,-0.0093,0.9960,-0.0162,0.996
1.614000,-0.0086,0.9962,-0.0167,0.996
1.617000,-0.0067,0.9962,-0.0182,0.996
1.617000,-0.0062,0.9962,-0.0198,0.996
1.620000,-0.0060,0.9960,-0.0206,0.996
1.622000,-0.0060,0.9951,-0.0233,0.995
1.623000,-0.0053,0.9947,-0.0270,0.995
1.625000,-0.0042,0.9942,-0.0309,0.995
1.627000,-0.0028,0.9934,-0.0326,0.994
1.633000,-0.0028,0.9936,-0.0331,0.994
1.633000,-0.0028,0.9955,-0.0326,0.996
1.634000,-0.0026,0.9967,-0.0313,0.997
1.637000,-0.0035,0.9977,-0.0315,0.998
1.637000,-0.0039,0.9998,-0.0314,1.000
1.640000,-0.0054,1.0008,-0.0317,1.001
1.641000,-0.0078,1.0009,-0.0329,1.002
1.643000,-0.0097,1.0016,-0.0350,1.002
1.647000,-0.0112,1.0015,-0.0368,1.002
1.648000,-0.0130,1.0006,-0.0377,1.001
1.649000,-0.0148,0.9993,-0.0380,1.000
1.651000,-0.0176,0.9987,-0.0384,1.000
1.654000,-0.0208,0.9988,-0.0390,1.000
1.655000,-0.0228,0.9992,-0.0399,1.000
1.657000,-0.0251,0.9992,-0.0411,1.000
1.659000,-0.0277,0.9998,-0.0417,1.001
1.661000,-0.0298,1.0008,-0.0412,1.002
1.664000,-0.0296,1.0010,-0.0400,1.002
1.666000,-0.0300,1.0012,-0.0398,1.002
