time,X_value,Y_value,Z_value
0.0036,0.97975,3.96691,8.65965
0.0037,0.97736,3.96452,8.65486
0.0093,0.97736,3.94535,8.66445
0.0093,0.97975,3.92619,8.67882
0.0093,0.98454,3.91661,8.69798
0.0109,0.98694,3.91421,8.71236
0.0128,0.98933,3.91182,8.72194
0.0144,0.99412,3.91421,8.71715
0.017,1.00371,3.91661,8.70517
0.0205,1.0085,3.919,8.69559
0.0206,1.0061,3.92379,8.6884
0.0222,1.00131,3.93098,8.68601
0.0249,1.00131,3.93338,8.6908
0.0261,1.00131,3.92619,8.70277
0.0284,0.99652,3.9214,8.70756
0.0301,0.98933,3.919,8.70517
0.0329,0.98454,3.9214,8.70038
0.0342,0.98694,3.92619,8.69559
0.037,0.99652,3.92379,8.69559
0.0383,1.00371,3.91661,8.69559
0.0406,1.00131,3.91421,8.70038
0.0421,0.99652,3.91661,8.69559
0.0455,0.99652,3.919,8.6884
0.0472,0.99412,3.92379,8.68601
0.0496,0.99173,3.92858,8.6884
0.0511,0.98694,3.93098,8.69559
0.0536,0.98454,3.92619,8.70277
0.0547,0.98454,3.9214,8.70038
0.0561,0.98454,3.91661,8.70038
0.0596,0.98454,3.91182,8.70038
0.062,0.98454,3.91661,8.70038
0.0621,0.98215,3.92379,8.69798
0.0693,0.98454,3.92619,8.69559
0.0694,0.99173,3.9214,8.6908
0.0694,0.99652,3.91661,8.69319
0.0703,0.99412,3.919,8.69319
0.0721,0.98933,3.92379,8.69559
0.0755,0.98933,3.93098,8.69798
0.0775,0.98933,3.92858,8.69798
0.078,0.98933,3.9214,8.69559
0.0801,0.98933,3.92379,8.6908
0.0818,0.98454,3.92619,8.6884
0.0837,0.97975,3.92858,8.6908
0.0912,0.97736,3.92619,8.69559
0.0913,0.97496,3.91661,8.70277
0.0913,0.97736,3.91182,8.70038
0.0926,0.97496,3.91182,8.6908
0.0948,0.97736,3.91661,8.6884
0.0961,0.98215,3.91661,8.6884
0.098,0.98454,3.91661,8.69559
0.1004,0.99173,3.9214,8.70038
0.102,1.00131,3.92858,8.70277
0.1047,1.0085,3.92858,8.70038
0.1059,1.00131,3.92858,8.69798
0.1082,0.99412,3.92379,8.69559
0.1099,0.99412,3.92379,8.69559
0.1127,0.99652,3.92379,8.6884
0.1137,0.99412,3.9214,8.6884
0.1157,0.98933,3.919,8.6884
0.1177,0.98215,3.919,8.6884
0.12,0.97736,3.9214,8.6908
0.1232,0.97496,3.91661,8.69798
0.1259,0.97975,3.91421,8.70517
0.1259,0.98933,3.91421,8.70517
0.1295,0.99173,3.91421,8.70756
0.1311,0.99173,3.91421,8.70517
0.1328,0.99652,3.91661,8.70277
0.1354,1.0061,3.919,8.70277
0.1355,1.01568,3.919,8.70038
0.1389,1.01329,3.9214,8.69559
0.1418,1.0061,3.92379,8.6908
0.1418,1.00371,3.92379,8.6908
0.146,1.00131,3.92379,8.69319
0.1461,0.98933,3.92619,8.6908
0.1484,0.97975,3.92379,8.6908
0.1509,0.98694,3.919,8.69559
0.1524,0.99652,3.91661,8.69559
0.1547,1.00371,3.919,8.69798
0.1569,1.0085,3.919,8.70277
0.1588,1.01089,3.9214,8.70038
0.1608,1.01089,3.92379,8.70277
0.1613,1.01089,3.92619,8.70038
0.1653,1.01808,3.92619,8.6884
0.1665,1.02287,3.92379,8.67642
0.1689,1.01568,3.92619,8.67882
0.1714,1.00371,3.92619,8.68601
0.1715,1.00131,3.919,8.6884
0.1742,1.0061,3.90942,8.6908
0.176,1.00371,3.90703,8.69559
0.1771,0.99652,3.91182,8.69798
0.1821,0.98694,3.91421,8.69798
0.1821,0.98933,3.919,8.69559
0.184,0.99891,3.9214,8.70038
0.185,1.0061,3.919,8.70277
0.19,1.01329,3.919,8.70277
0.19,1.02047,3.92379,8.69798
0.1931,1.02766,3.92619,8.69319
0.1946,1.03006,3.92619,8.6884
0.1958,1.02287,3.92379,8.6908
0.197,1.02047,3.919,8.69319
0.2,1.02287,3.91421,8.69559
0.2023,1.02047,3.90942,8.69319
0.2093,1.0085,3.90703,8.69559
0.2093,0.99652,3.90703,8.70277
0.2093,0.98933,3.91182,8.70517
0.2093,0.98454,3.91421,8.70517
0.2112,0.98215,3.91661,8.70756
0.2141,0.98215,3.9214,8.70996
0.2158,0.98933,3.92858,8.70517
0.2168,1.00131,3.93338,8.70038
0.2214,1.00131,3.93338,8.69798
0.2215,1.00131,3.93338,8.69798
0.223,0.99173,3.93338,8.69559
0.2247,0.98454,3.93338,8.6884
0.2268,0.97975,3.92858,8.6884
0.2293,0.98215,3.92858,8.69559
0.2309,0.98454,3.92858,8.70038
0.2328,0.98694,3.93098,8.70038
0.2358,0.99412,3.93098,8.69798
0.2369,0.99173,3.93098,8.70038
0.2404,0.98694,3.93577,8.70517
0.2465,0.98454,3.94056,8.70756
