time,ax,ay,az,atotal
2021-03-04 19:5:38.7310,-0.06,0.03,0.05,0.08
2021-03-04 19:5:38.7340,-0.13,0.01,0.0,0.13
2021-03-04 19:5:38.7410,-0.15,0.0,-0.05,0.15
2021-03-04 19:5:38.7510,-0.12,-0.05,-0.11,0.17
2021-03-04 19:5:38.7610,0.15,0.05,0.02,0.15
2021-03-04 19:5:38.7790,0.32,0.16,-0.06,0.36
2021-03-04 19:5:38.7820,0.11,0.07,-0.05,0.13
2021-03-04 19:5:38.7910,0.02,0.05,0.0,0.05
2021-03-04 19:5:38.8010,0.05,0.06,-0.03,0.08
2021-03-04 19:5:38.8110,0.11,0.05,-0.04,0.12
2021-03-04 19:5:38.8210,0.11,0.06,-0.04,0.13
2021-03-04 19:5:38.8310,0.06,0.09,-0.06,0.12
2021-03-04 19:5:38.8420,0.01,0.04,0.06,0.07
2021-03-04 19:5:38.8520,-0.02,0.03,0.0,0.03
2021-03-04 19:5:38.8610,-0.04,0.0,0.01,0.04
2021-03-04 19:5:38.8710,-0.1,-0.05,0.0,0.11
2021-03-04 19:5:38.8830,-0.13,-0.07,-0.03,0.15
2021-03-04 19:5:38.8910,-0.02,-0.02,0.05,0.05
2021-03-04 19:5:38.9010,0.15,0.07,-0.02,0.16
2021-03-04 19:5:38.9100,-0.03,0.0,0.0,0.03
2021-03-04 19:5:38.9210,-0.08,-0.03,0.01,0.08
2021-03-04 19:5:38.9310,-0.02,-0.02,-0.02,0.03
2021-03-04 19:5:38.9410,-0.04,-0.02,-0.02,0.04
2021-03-04 19:5:38.9510,-0.03,-0.01,-0.02,0.03
2021-03-04 19:5:38.9600,-0.1,-0.02,0.02,0.1
2021-03-04 19:5:38.9700,-0.1,0.0,0.02,0.1
2021-03-04 19:5:38.9810,0.02,0.01,-0.03,0.03
2021-03-04 19:5:38.9900,0.05,0.01,-0.04,0.06
2021-03-04 19:5:39.0000,0.02,0.02,-0.06,0.06
2021-03-04 19:5:39.0100,0.0,0.0,-0.03,0.03
2021-03-04 19:5:39.0200,0.15,0.07,-0.06,0.17
2021-03-04 19:5:39.0310,0.09,0.05,-0.06,0.11
2021-03-04 19:5:39.0400,0.05,0.02,-0.02,0.05
2021-03-04 19:5:39.0510,0.1,0.09,-0.03,0.13
2021-03-04 19:5:39.0600,0.08,0.08,-0.02,0.11
2021-03-04 19:5:39.0700,-0.01,0.04,-0.01,0.04
2021-03-04 19:5:39.0830,-0.1,-0.01,0.0,0.1
2021-03-04 19:5:39.0890,-0.02,-0.03,-0.02,0.04
2021-03-04 19:5:39.0990,0.13,0.06,-0.03,0.14
2021-03-04 19:5:39.1090,0.16,0.09,-0.05,0.19
2021-03-04 19:5:39.1200,0.07,0.04,-0.05,0.09
2021-03-04 19:5:39.1290,-0.01,0.01,0.01,0.01
2021-03-04 19:5:39.1390,-0.09,-0.01,0.0,0.09
2021-03-04 19:5:39.1490,-0.12,-0.07,-0.01,0.13
2021-03-04 19:5:39.1590,-0.07,-0.05,0.02,0.08
2021-03-04 19:5:39.1700,-0.06,0.0,0.0,0.06
2021-03-04 19:5:39.1830,-0.02,-0.02,-0.02,0.03
2021-03-04 19:5:39.1890,-0.03,0.0,-0.01,0.03
2021-03-04 19:5:39.1990,-0.16,-0.06,-0.02,0.17
2021-03-04 19:5:39.2090,-0.13,-0.06,-0.03,0.14
2021-03-04 19:5:39.2190,-0.01,0.01,-0.01,0.01
2021-03-04 19:5:39.2280,-0.01,-0.01,-0.02,0.02
2021-03-04 19:5:39.2390,-0.03,0.0,-0.02,0.03
2021-03-04 19:5:39.2490,-0.02,0.0,-0.03,0.03
2021-03-04 19:5:39.2580,-0.04,0.02,-0.03,0.05
2021-03-04 19:5:39.2690,-0.13,0.01,-0.01,0.13
2021-03-04 19:5:39.2880,-0.14,-0.04,-0.02,0.14
2021-03-04 19:5:39.2900,-0.04,-0.01,-0.05,0.06
2021-03-04 19:5:39.2980,0.02,0.09,-0.03,0.09
2021-03-04 19:5:39.3080,-0.03,0.05,-0.04,0.07
2021-03-04 19:5:39.3180,-0.1,0.03,-0.02,0.1
2021-03-04 19:5:39.3280,-0.02,0.03,-0.04,0.05
2021-03-04 19:5:39.3380,-0.02,0.0,-0.04,0.04
2021-03-04 19:5:39.3490,0.08,0.06,-0.03,0.1
2021-03-04 19:5:39.3570,0.08,0.06,-0.06,0.11
2021-03-04 19:5:39.3690,0.1,0.05,-0.04,0.11
2021-03-04 19:5:39.3870,0.17,0.08,-0.03,0.19
2021-03-04 19:5:39.3900,-0.02,0.01,-0.04,0.04
2021-03-04 19:5:39.3970,-0.19,-0.11,-0.03,0.22
2021-03-04 19:5:39.4070,-0.07,0.01,-0.01,0.07
2021-03-04 19:5:39.4180,-0.06,0.03,0.03,0.07
2021-03-04 19:5:39.4270,-0.14,0.02,0.05,0.15
2021-03-04 19:5:39.4370,-0.08,0.01,0.02,0.08
2021-03-04 19:5:39.4480,-0.06,0.0,-0.01,0.06
2021-03-04 19:5:39.4570,-0.06,-0.17,0.01,0.18
2021-03-04 19:5:39.4670,0.22,-0.15,0.01,0.26
2021-03-04 19:5:39.4870,-0.2,0.39,-0.18,0.47
2021-03-04 19:5:39.4900,0.14,-0.1,-0.01,0.17
2021-03-04 19:5:39.4960,0.02,0.03,-0.04,0.05
2021-03-04 19:5:39.5060,-0.03,-0.07,-0.05,0.09
2021-03-04 19:5:39.5160,0.1,0.04,0.0,0.1
2021-03-04 19:5:39.5260,0.06,-0.03,-0.04,0.07
2021-03-04 19:5:39.5370,0.02,0.0,-0.01,0.02
2021-03-04 19:5:39.5470,0.05,0.05,-0.02,0.07
2021-03-04 19:5:39.5560,-0.1,0.01,-0.05,0.11
2021-03-04 19:5:39.5670,-0.09,-0.03,-0.02,0.09
2021-03-04 19:5:39.5870,0.01,0.04,-0.01,0.04
2021-03-04 19:5:39.5890,-0.09,-0.05,-0.03,0.1
2021-03-04 19:5:39.5960,0.1,-0.02,-0.02,0.1
2021-03-04 19:5:39.6060,0.21,0.07,-0.05,0.22
2021-03-04 19:5:39.6160,0.06,0.04,-0.02,0.07
2021-03-04 19:5:39.6260,-0.16,0.08,-0.03,0.18
2021-03-04 19:5:39.6360,-0.21,0.06,-0.02,0.21
2021-03-04 19:5:39.6460,-0.16,0.02,-0.03,0.16
2021-03-04 19:5:39.6560,-0.17,-0.05,-0.04,0.18
2021-03-04 19:5:39.6660,0.01,-0.02,-0.05,0.05
2021-03-04 19:5:39.6760,-0.02,0.04,-0.02,0.04
2021-03-04 19:5:39.6900,-0.05,0.0,0.0,0.05
2021-03-04 19:5:39.6950,-0.06,-0.02,-0.01,0.06
2021-03-04 19:5:39.7050,-0.06,-0.03,-0.01,0.06
2021-03-04 19:5:39.7160,0.01,-0.05,-0.04,0.06
2021-03-04 19:5:39.7250,0.12,0.02,-0.04,0.12
2021-03-04 19:5:39.7360,0.1,0.06,0.02,0.11
2021-03-04 19:5:39.7450,-0.02,0.02,0.02,0.03
2021-03-04 19:5:39.7550,-0.11,-0.01,0.0,0.11
2021-03-04 19:5:39.7660,-0.13,-0.02,0.01,0.13
2021-03-04 19:5:39.7750,-0.07,0.0,0.01,0.07
