time,X_value,Y_value,Z_value
0.0037,-0.00384,-0.00161,0.00178
0.0037,-0.00331,-2E-05,-0.00088
0.0092,-0.00065,0.00105,0.00125
0.0093,-0.00278,-0.00108,0.00178
0.0093,-0.00011,-0.00215,0.00125
0.011,-0.00278,-0.00161,0.00125
0.0128,-0.00118,-0.00108,0.00285
0.0144,-0.00224,-0.00055,0.00125
0.0171,-0.00118,-0.00161,0.00391
0.0205,-0.00118,0.00211,0.00072
0.0206,-0.00011,-2E-05,0.00125
0.0222,-0.00278,-2E-05,0.00072
0.0253,0.00042,0.00105,-0.00035
0.0261,-0.00118,0.00105,-0.00195
0.0284,-0.00278,-0.00108,0.00125
0.0302,-0.00118,0.00052,-0.00088
0.0328,0.00148,-0.00055,-0.00035
0.0342,0.00095,-0.00055,0.00072
0.0371,-0.00171,0.00158,0.00018
0.0383,-0.00118,-0.00055,-0.00088
0.0407,-0.00011,0.00105,-0.00035
0.0421,-0.00331,0.00052,0.00018
0.0454,-0.00065,-2E-05,-0.00088
0.0473,-0.00011,-0.00161,0.00125
0.0497,0.00148,-0.00055,0.00018
0.0511,-0.00065,-0.00108,0.00018
0.0536,-0.00065,-0.00108,0.00125
0.0548,-0.00011,0.00105,-0.00088
0.0561,-0.00171,0.00211,0.00285
0.0597,-0.00118,-2E-05,0.00072
0.0621,-0.00278,0.00478,-0.00088
0.0621,-0.00171,0.00052,0.00178
0.0659,0.00148,-0.00161,0.00072
0.0694,-0.00224,0.00052,-0.00035
0.0694,-0.00224,0.00211,0.00125
0.0703,-0.00278,-0.00215,0.00072
0.0721,-0.00384,-0.00161,0.00072
0.0756,-0.00118,-0.00108,-0.00088
0.0773,0.00042,-0.00321,0.00125
0.078,-0.00011,-0.00055,0.00178
0.0802,0.00042,-0.00055,0.00072
0.0819,-0.00278,-0.00055,0.00072
0.084,-0.00224,-0.00588,0.00285
0.0913,-0.00118,-0.00055,0.00178
0.0913,-0.00118,-2E-05,0.00018
0.0913,0.00308,-0.00108,0.00231
0.093,-0.00171,-0.00161,0.00018
0.0948,-0.00224,-0.00215,0.00338
0.096,0.00148,-0.00055,0.00231
0.0981,-0.00118,-2E-05,0.00285
0.1004,0.00095,0.00158,0.00018
0.102,-0.00011,-0.00108,0.00018
0.1047,-0.00011,-0.00215,0.00285
0.1059,-0.00171,-0.00108,0.00072
0.1082,-0.00118,-0.00268,0.00338
0.11,-0.00011,-0.00268,0.00338
0.1127,-0.00331,-0.00375,0.00018
0.114,0.00042,-0.00161,0.00231
0.1157,0.00095,-0.00375,0.00444
0.1177,0.00042,-0.00161,0.00072
0.1206,-0.00224,-0.00428,0.00125
0.1233,-0.00118,-0.00161,0.00125
0.1259,-0.00118,-0.00268,0.00072
0.1259,0.00042,-0.00161,0.00285
0.1295,-0.00065,-0.00268,0.00178
0.1311,-0.00065,-0.00428,0.00444
0.1328,0.00042,-0.00108,0.00125
0.1354,-0.00278,-0.00428,0.00125
0.1355,0.00095,-0.00375,0.00125
0.139,0.00255,-0.00268,0.00178
0.1417,0.00255,-0.00428,0.00072
0.1418,-0.00224,-0.00375,0.00231
0.1461,-0.00011,-0.00161,0.00072
0.1461,0.00095,-0.00268,0.00178
0.1484,-0.00065,-0.00428,0.00072
0.151,0.00095,-0.00055,0.00072
0.1523,0.00042,0.00105,0.00285
0.1546,-0.00011,-0.00268,-0.00141
0.1569,0.00095,-0.00108,0.00178
0.1588,-0.00118,-0.00161,0.00178
0.1608,0.00148,-2E-05,0.00125
0.1613,0.00042,-0.00268,-0.00035
0.1653,-0.00171,-0.00215,0.00072
0.1665,-0.00118,-0.00161,0.00072
0.169,-0.00065,-0.00161,-0.00035
0.1714,-0.00278,-0.00215,0.00072
0.1715,-0.00011,0.00158,0.00072
0.176,-0.00065,-0.00321,0.00018
