time,X_value,Y_value,Z_value
0.0057,-0.05510,-9.77834,-0.68032
0.0059,-0.05989,-9.80230,-0.67792
0.0091,-0.07426,-9.80948,-0.68032
0.0091,-0.08145,-9.80230,-0.68750
0.0109,-0.08384,-9.79032,-0.70667
0.0122,-0.08145,-9.77595,-0.72823
0.0141,-0.08384,-9.76157,-0.75218
0.0196,-0.09103,-9.74960,-0.77853
0.0196,-0.09582,-9.73522,-0.80728
0.0209,-0.08863,-9.72804,-0.83123
0.0239,-0.08624,-9.72804,-0.85279
0.0250,-0.09103,-9.73762,-0.86237
0.0274,-0.09821,-9.74960,-0.86237
0.0289,-0.09582,-9.76157,-0.85998
0.0310,-0.09342,-9.77355,-0.85279
0.0326,-0.09582,-9.78313,-0.84081
0.0349,-0.10540,-9.79272,-0.82165
0.0367,-0.11259,-9.80469,-0.79051
0.0390,-0.11498,-9.81667,-0.75697
0.0452,-0.11738,-9.83104,-0.72823
0.0452,-0.12696,-9.84302,-0.71385
0.0453,-0.11019,-9.85260,-0.69708
0.0526,-0.05749,-9.87177,-0.67313
0.0527,-0.01198,-9.89572,-0.64917
0.0527,-0.00240,-9.91968,-0.62522
0.0538,-0.01437,-9.93165,-0.60606
0.0612,-0.02156,-9.93405,-0.60366
0.0612,-0.01916,-9.93165,-0.61085
0.0612,-0.00958,-9.92926,-0.61803
0.0613,0.00240,-9.92207,-0.62762
0.0639,0.01198,-9.90770,-0.64438
0.0652,0.01677,-9.90051,-0.67313
0.0672,0.02156,-9.89333,-0.71146
0.0685,0.02395,-9.88854,-0.75218
0.0722,0.02875,-9.88614,-0.78332
0.0771,0.03114,-9.87656,-0.80967
0.0771,0.03593,-9.86458,-0.83842
0.0772,0.04072,-9.86219,-0.86477
0.0794,0.04072,-9.86458,-0.87914
0.0808,0.03833,-9.85979,-0.89830
0.0829,0.03833,-9.85739,-0.91507
0.0846,0.04312,-9.86219,-0.91747
0.0866,0.04791,-9.86458,-0.91747
0.0885,0.05031,-9.85979,-0.91986
0.0935,0.05270,-9.85260,-0.92226
0.0935,0.05031,-9.85739,-0.91507
0.1004,0.05031,-9.86219,-0.90310
0.1005,0.05270,-9.86219,-0.89591
0.1005,0.05989,-9.85739,-0.89591
0.1006,0.06707,-9.85500,-0.89112
0.1028,0.06947,-9.85979,-0.87914
0.1048,0.06228,-9.86458,-0.86716
0.1065,0.05749,-9.85979,-0.85758
0.1080,0.05510,-9.85739,-0.84800
0.1114,0.05031,-9.85260,-0.84321
0.1122,0.04791,-9.85260,-0.84800
0.1166,0.04791,-9.84063,-0.85279
0.1167,0.04791,-9.82865,-0.84800
0.1200,0.04551,-9.82625,-0.83842
0.1203,0.04551,-9.82386,-0.83363
0.1225,0.03833,-9.81667,-0.83363
