time,X_value,Y_value,Z_value
0.0057,-0.02222,-0.02303,-0.00281
0.0058,-0.01477,-0.02623,-0.00281
0.0091,-0.01264,-0.02836,-0.00227
0.0091,-0.01423,-0.03368,-0.00227
0.0109,-0.00997,-0.03475,-0.00014
0.0119,-0.00838,-0.03688,-0.00014
0.0144,-0.00997,-0.03794,0.00039
0.0196,-0.01264,-0.04167,0.00039
0.0196,-0.01637,-0.04114,0.00359
0.0209,-0.01583,-0.04327,0.00145
0.0239,-0.01903,-0.04753,0.00465
0.0250,-0.02862,-0.04806,0.00252
0.0274,-0.03181,-0.04860,0.00145
0.0291,-0.03607,-0.04860,0.00359
0.0313,-0.03980,-0.05179,0.00145
0.0326,-0.04300,-0.05126,0.00199
0.0349,-0.04300,-0.04860,0.00305
0.0367,-0.04832,-0.04860,0.00252
0.0390,-0.04513,-0.04753,0.00359
0.0452,-0.04673,-0.04700,0.00625
0.0452,-0.04832,-0.04433,0.00465
0.0521,-0.04886,-0.04327,0.00359
0.0527,-0.04353,-0.04114,0.00145
0.0527,-0.03874,-0.03741,-0.00068
0.0527,-0.03607,-0.03421,0.00092
0.0535,-0.03128,-0.03208,0.00039
0.0612,-0.02968,-0.03262,0.00092
0.0612,-0.02222,-0.02782,-0.00121
0.0612,-0.01743,-0.02836,0.00039
0.0613,-0.01796,-0.02623,-0.00174
0.0651,-0.01157,-0.02782,-0.00121
0.0652,-0.00944,-0.02516,-0.00121
0.0672,-0.00944,-0.02569,-0.00281
0.0685,-0.00731,-0.02143,0.00039
0.0723,-0.00891,-0.02037,0.00092
0.0771,-0.00625,-0.01983,0.00092
0.0771,-0.00625,-0.01877,-0.00121
0.0772,-0.00411,-0.01717,-0.00281
0.0794,-0.00731,-0.01557,-0.00227
0.0808,-0.00731,-0.01504,-0.00068
0.0829,-0.00891,-0.01611,-0.00227
0.0846,-0.00891,-0.01397,-0.00121
0.0866,-0.01051,-0.01717,-0.00014
0.0885,-0.01317,-0.01717,0.00092
0.0935,-0.01370,-0.01504,-0.00227
0.0935,-0.01264,-0.01451,-0.00068
0.1005,-0.01370,-0.01397,-0.00281
0.1005,-0.01157,-0.01717,-0.00281
0.1005,-0.01051,-0.01451,-0.00121
0.1009,-0.01370,-0.01291,-0.00334
0.1028,-0.01530,-0.01451,-0.00440
0.1054,-0.01104,-0.01557,-0.00334
0.1065,-0.01264,-0.01504,-0.00440
0.1080,-0.01264,-0.01238,-0.00440
0.1113,-0.00997,-0.01131,-0.00600
0.1122,-0.01477,-0.01025,-0.00600
0.1166,-0.01370,-0.00971,-0.00494
0.1167,-0.01317,-0.01025,-0.00973
0.1200,-0.01423,-0.01078,-0.00707
0.1217,-0.00997,-0.00705,-0.00813
0.1225,-0.01477,-0.00758,-0.01186
0.1259,-0.00997,-0.00545,-0.01026
0.1280,-0.01423,-0.00545,-0.01133
0.1298,-0.01370,-0.00226,-0.01133
0.1309,-0.01423,-0.00226,-0.01186
0.1340,-0.01104,-0.00332,-0.01346
0.1342,-0.00997,-0.00119,-0.01186
0.1399,-0.01104,-0.00492,-0.01133
0.1399,-0.01051,-0.00013,-0.01293
0.1401,-0.01104,-0.00385,-0.01346
0.1437,-0.01104,-0.00013,-0.01080
0.1460,-0.01264,-0.00332,-0.01293
0.1481,-0.01264,-0.00332,-0.01293
0.1482,-0.01051,-0.00492,-0.01239
0.1519,-0.00997,-0.00332,-0.01346
0.1519,-0.00731,-0.00279,-0.01239
0.1564,-0.00997,-0.00385,-0.01080
0.1565,-0.01104,0.00041,-0.01186
0.1597,-0.00997,0.00041,-0.00920
0.1599,-0.00731,0.00307,-0.01026
0.1637,-0.01157,-0.00066,-0.00867
0.1655,-0.00784,0.00307,-0.00867
0.1676,-0.00411,0.00200,-0.00653
0.1690,-0.00891,0.00573,-0.00707
0.1704,-0.00571,0.00520,-0.00600
0.1732,-0.00731,0.00307,-0.00281
0.1756,-0.00252,0.00467,-0.00121
0.1802,-0.00625,0.00520,-0.00068
0.1802,-0.00571,0.00627,-0.00068
0.1802,-0.00625,0.00573,0.00145
0.1810,-0.00678,0.00520,0.00199
0.1830,-0.00944,0.00573,0.00305
0.1853,-0.00678,0.00413,0.00305
0.1876,-0.00891,0.00520,0.00305
0.1930,-0.00891,0.00680,0.00572
0.1932,-0.01104,0.00573,0.00359
0.1933,-0.01317,0.00200,0.00359
0.1947,-0.01637,0.00307,0.00518
0.1987,-0.01530,0.00094,0.00572
0.1989,-0.01477,-0.00066,0.00625
0.2021,-0.01637,-0.00119,0.00731
0.2030,-0.02009,-0.00439,0.00678
0.2088,-0.02063,-0.00545,0.00678
0.2089,-0.01903,-0.00492,0.00625
0.2092,-0.02329,-0.00439,0.00678
0.2117,-0.02169,-0.00545,0.00678
0.2132,-0.01956,-0.00332,0.00838
0.2275,-0.01850,-0.00545,0.00678
0.2275,-0.02276,-0.00013,0.00731
0.2275,-0.01956,-0.00119,0.00678
0.2275,-0.02063,-0.00013,0.00412
0.2275,-0.02116,-0.00013,0.00305
0.2275,-0.01850,0.00041,0.00731
0.2275,-0.01530,0.00147,0.00518
0.2293,-0.01583,-0.00013,0.00252
0.2310,-0.01796,0.00360,0.00359
0.2328,-0.01850,0.00520,0.00305
0.2361,-0.01583,0.00467,0.00305
0.2375,-0.01583,0.00573,-0.00121
0.2398,-0.01530,0.00680,0.00039
0.2466,-0.01477,0.00733,0.00092
0.2466,-0.01530,0.01212,-0.00387
0.2466,-0.01317,0.01425,-0.00227
0.2469,-0.01157,0.01266,-0.00440
0.2509,-0.00944,0.01798,-0.00600
0.2510,-0.01210,0.01692,-0.00813
0.2535,-0.01317,0.01852,-0.00653
0.2601,-0.00784,0.02651,-0.00760
0.2601,-0.00944,0.02864,-0.00973
0.2601,-0.00891,0.03130,-0.00867
0.2619,-0.00891,0.03290,-0.01133
0.2621,-0.00784,0.03503,-0.00920
0.2665,-0.00784,0.03716,-0.00973
0.2666,-0.00625,0.04035,-0.01026
0.2684,-0.00891,0.04089,-0.01080
0.2705,-0.00784,0.04461,-0.00973
0.2740,-0.00944,0.04515,-0.01080
0.2753,-0.01104,0.04515,-0.01239
0.2765,-0.00997,0.04355,-0.01133
0.2781,-0.00891,0.04941,-0.01026
0.2810,-0.00944,0.04461,-0.01133
0.2820,-0.00838,0.04461,-0.01239
0.2875,-0.00571,0.04408,-0.00973
0.2875,-0.00358,0.04248,-0.00867
0.2904,-0.00039,0.04195,-0.00813
0.2905,-0.00092,0.03609,-0.00760
0.2950,0.00015,0.03343,-0.00653
0.2951,0.00174,0.03077,-0.00760
0.3003,0.00228,0.03077,-0.00653
