time,X_value,Y_value,Z_value
0.0058,-0.01553,0.16186,0.04981
0.0091,0.00353,0.05472,0.10736
0.0109,-0.00364,0.00909,0.11411
0.0144,-0.01899,0.01848,0.09581
0.0196,-0.01871,0.04561,0.05259
0.0239,-0.02904,0.07132,0.00044
0.0274,-0.02260,0.08492,-0.04760
0.0310,-0.02931,0.06868,-0.06624
0.0349,-0.02881,0.04423,-0.05829
0.0390,-0.03425,0.02353,-0.03122
0.0452,-0.04676,0.00062,0.02785
0.0526,-0.05433,-0.02567,0.08171
0.0527,-0.01564,-0.05054,0.11844
0.0613,0.06063,-0.09538,0.16640
0.0613,0.04956,-0.11962,0.19825
0.0652,0.05278,-0.11631,0.18785
0.0674,0.07375,-0.09995,0.16547
0.0723,0.08502,-0.08133,0.10863
0.0771,0.09153,-0.07117,0.03320
0.0793,0.09794,-0.05397,-0.02266
0.0829,0.10421,-0.04641,-0.06977
0.0866,0.10096,-0.04130,-0.10332
0.0935,0.10727,-0.04574,-0.11278
0.1005,0.11233,-0.03827,-0.11489
0.1005,0.11019,-0.04156,-0.10155
0.1028,0.11518,-0.04125,-0.08721
0.1065,0.12599,-0.03857,-0.07524
0.1114,0.11653,-0.04304,-0.05159
0.1166,0.10827,-0.03559,-0.03410
0.1200,0.10244,-0.02702,-0.03801
0.1228,0.10010,-0.00783,-0.03004
0.1280,0.09415,-0.00068,-0.01981
0.1308,0.08465,0.00285,-0.00968
0.1342,0.08945,0.00873,0.00401
0.1394,0.09416,0.00981,-0.00275
0.1437,0.08935,0.00970,0.00482
0.1481,0.07745,0.01552,0.00045
0.1518,0.06563,0.00704,-0.00381
0.1564,0.04203,0.01289,0.00255
0.1597,0.02817,0.01632,0.01474
0.1637,0.02515,0.00902,0.02572
0.1677,0.02339,0.00417,0.04250
0.1713,0.01814,0.00649,0.05069
0.1756,0.03553,0.00047,0.05530
0.1802,0.05296,0.00877,0.04672
0.1810,0.08217,0.00986,0.04062
0.1853,0.09222,0.01689,0.03578
0.1932,0.09275,0.01316,0.01561
0.1933,0.10875,0.00589,0.00395
0.1985,0.10916,0.00343,-0.00393
0.2021,0.10370,-0.00853,-0.03061
0.2089,0.09242,-0.00495,-0.04519
0.2096,0.08242,-0.00616,-0.04996
0.2132,0.08675,-0.00380,-0.05704
0.2275,0.09346,-0.00265,-0.06052
0.2275,0.09415,0.00680,-0.04378
0.2275,0.09121,0.01737,-0.01532
0.2293,0.07758,0.02548,0.01170
0.2329,0.06164,0.02402,0.03121
0.2375,0.05649,0.01664,0.03997
0.2466,0.04297,0.00694,0.04857
0.2469,0.02361,0.01278,0.04993
0.2510,0.00425,-0.01232,0.05957
0.2535,-0.01385,-0.03719,0.05592
0.2601,-0.03427,-0.05949,0.05238
0.2619,-0.05223,-0.06021,0.06179
0.2665,-0.04991,-0.06568,0.05924
0.2684,-0.04047,-0.07228,0.05668
0.2740,-0.02642,-0.08239,0.04819
0.2765,-0.01249,-0.08886,0.03031
0.2810,0.01195,-0.10003,0.01860
0.2875,0.01960,-0.09210,0.01168
0.2905,0.02955,-0.09016,0.01304
0.2950,0.05259,-0.09654,0.01302
0.3003,0.06365,-0.08386,-0.00014
0.3019,0.06631,-0.09266,-0.00021
0.3060,0.06079,-0.07643,-0.01814
0.3099,0.05544,-0.05916,-0.04304
0.3132,0.05617,-0.03016,-0.05816
0.3173,0.04861,0.00335,-0.06354
0.3221,0.03653,0.03894,-0.05929
0.3286,0.02106,0.07066,-0.05020
0.3305,0.00693,0.09973,-0.03638
0.3325,0.00608,0.10955,-0.00713
0.3403,-0.00906,0.12878,0.00542
0.3414,-0.03343,0.13834,0.03687
0.3454,-0.04936,0.12645,0.06570
0.3493,-0.06391,0.10989,0.07533
0.3528,-0.07961,0.08516,0.07067
0.3603,-0.08694,0.05944,0.06489
0.3628,-0.10016,0.02562,0.04968
0.3650,-0.10265,-0.01148,0.04173
0.3696,-0.10171,-0.03758,0.03977
0.3728,-0.10554,-0.05395,0.04609
0.3799,-0.09757,-0.07730,0.04507
0.3809,-0.08373,-0.09689,0.04986
0.3850,-0.05704,-0.11392,0.05208
0.3885,-0.04135,-0.11060,0.05172
0.3933,-0.02942,-0.11917,0.05714
0.3976,-0.00806,-0.12529,0.03868
0.4018,0.00243,-0.12303,0.03091
0.4066,0.01518,-0.11840,0.00880
0.4087,0.02194,-0.10787,-0.02138
0.4125,0.02746,-0.07605,-0.04782
0.4190,0.02229,-0.05162,-0.06926
0.4210,0.00889,-0.02977,-0.07041
0.4261,0.00045,-0.00809,-0.08109
0.4297,-0.01613,0.02409,-0.07978
0.4329,-0.01945,0.04770,-0.06187
0.4362,-0.03221,0.05328,-0.05712
