time,X_value,Y_value,Z_value
0.0037,0.02727,-0.02707,0.02189
0.0093,-0.00863,0.03504,-0.0318
0.0093,-0.01571,0.03244,-0.03987
0.0128,-0.01091,-0.00103,-0.01105
0.0171,-0.00494,-0.00927,0.01753
0.021,0.00576,-0.00677,0.01142
0.0253,0.01401,-0.00072,-0.0077
0.0284,0.00801,0.00998,-0.01121
0.0329,0.00556,0.00165,0.00548
0.0371,-0.00639,-0.00197,0.00308
0.0407,-0.00156,0.00285,-0.00409
0.0455,0.00917,-0.00662,-0.00171
0.0497,0.00312,-0.00417,-0.00764
0.0536,-0.0005,0.00416,-0.01232
0.0565,-0.00762,0.00652,-0.00034
0.0621,-0.00874,-0.00298,0.00082
0.0694,-0.00858,-0.00763,0.00077
0.0694,-0.00972,0.00314,-0.0028
0.0721,0.00104,-0.00274,-0.00757
0.0774,-0.00139,-0.00026,-0.00517
0.0802,-0.00384,0.00806,-0.00155
0.0912,-0.00384,0.00091,-0.0063
0.0913,-0.01108,0.00572,-0.00983
0.0926,-0.01697,-0.00029,-0.00023
0.0965,-0.01692,-0.00972,-0.00381
0.1004,-0.01326,-0.00488,-0.0109
0.1047,-0.00483,-0.00248,-0.0013
0.1082,0.01175,0.00708,0.00226
0.1127,0.00439,0.00468,-0.00251
0.1157,0.00186,0.00232,-0.00725
0.1206,-0.00185,-0.00127,-0.01073
0.1259,-0.01383,-0.0012,-0.00947
0.1296,-0.01619,-0.00592,0.00249
0.1328,-0.00316,-0.00702,0.00722
0.1355,0.00032,-0.00573,0.00478
0.1418,0.01681,-0.00217,0.00241
0.146,0.01532,0.00141,-0.00591
0.1484,0.00798,0.00257,-0.00703
0.1523,-0.01,0.00374,-0.00815
0.1569,-0.00283,-0.00342,-0.00333
0.1608,0.01137,-0.00219,0.00146
0.1653,0.01598,0.00136,0.00265
0.169,0.01933,0.00496,-0.00451
0.1717,0.02385,0.00379,-0.02112
0.176,0.00699,0.0014,-0.01145
0.1821,0.0092,-0.0129,-0.00539
0.184,-0.00401,-0.00804,-0.00058
0.19,-0.00161,-0.00092,-0.00054
0.1946,0.01389,-0.00218,0.00424
0.1958,0.02806,0.00373,-0.0029
0.1992,0.03024,0.00363,-0.00879
0.2093,0.02527,-0.00484,-0.00391
0.2093,0.01797,-0.01323,-0.00383
0.2129,-0.00353,-0.01197,0.00572
0.2159,-0.01304,-0.00606,0.00811
0.2215,-0.01057,0.00341,0.00927
0.223,0.005,0.01167,0.00089
0.2271,0.00022,0.01143,-0.00144
0.2314,-0.01409,0.00885,-0.00968
0.2358,-0.01284,0.00622,-2E-05
0.2465,-0.00566,0.0085,0.0012
0.2466,-0.00691,0.01074,0.00479
0.2482,-0.01166,0.02006,0.00718
0.252,-0.00335,0.02812,0.0036
0.2557,0.00853,0.01242,-0.00354
0.2604,0.02855,0.00399,-0.0023
0.2631,0.04013,0.00628,-0.00225
0.2683,0.01475,0.00378,-0.00457
0.2709,-0.02241,-0.02018,0.01695
0.2773,-0.03074,-0.02613,0.02642
0.2802,-0.02819,-0.01537,0.01084
0.2844,-0.01742,-0.00824,-0.01769
0.2877,0.00765,-0.00475,-0.00203
0.2922,0.02298,-0.00606,-0.00075
0.2945,0.05244,-0.01564,-0.01137
0.3001,0.05919,-0.01447,-0.00884
0.3039,0.04099,-0.0074,-0.01464
0.3072,0.03241,-0.00745,-0.01685
0.3114,0.03352,-0.00285,-0.02139
0.3157,0.01796,-0.00649,-0.01406
0.3218,0.01913,0.00768,-0.00677
0.3236,0.00135,0.04912,-0.0067
0.3285,-0.03886,0.12036,0.05967
0.3312,-0.0823,0.14373,-0.11691
0.3409,-0.05647,-0.04625,-0.35236
0.3409,-0.00845,-0.15787,0.16622
0.3432,-0.00588,-0.1224,0.3835
0.3468,0.00262,-0.04661,-0.03065
0.3509,0.04198,0.05959,-0.1623
0.3543,0.03934,0.07815,-0.04814
0.3584,0.013,0.01098,-0.0145
0.3639,-0.00236,-0.0308,0.02366
0.369,-0.01524,-0.01994,0.04487
0.3751,-0.00787,0.00867,0.00175
0.3769,-0.00768,0.02285,-0.02797
0.3788,-0.01818,0.01912,-0.01589
0.3819,-0.01204,0.00592,-0.00865
0.3869,-0.01183,-0.00486,-0.00025
0.3907,-0.00219,-0.00123,-0.00265
0.3937,0.01332,-0.00123,0.00925
0.3983,-0.02356,-0.0001,-0.0003
0.4031,-0.02568,0.00702,0.01395
0.4063,-0.00401,-0.00252,0.0055
0.4102,0.00679,-0.00258,-0.00402
0.4157,0.00683,-0.0073,-0.00162
0.419,0.0057,-0.00013,0.00432
0.423,-0.0002,0.00348,-0.0005
0.4277,-0.00964,0.0082,0.00307
0.4322,-0.01307,0.01532,0.00776
0.435,-0.01527,0.03437,0.01592
0.4396,0.00636,-0.00746,-0.09826
0.4432,0.03365,-0.05739,-0.02376
0.4467,0.02749,-0.04874,0.11665
0.4503,-0.00236,-0.03182,0.02308
0.4581,0.0013,0.01831,-0.05076
0.4581,0.00141,0.05025,-0.02779
0.4624,0.00379,0.02367,-0.01092
0.4665,-0.00088,-0.00267,-0.00846
0.4698,-0.01387,-0.00864,0.01063
0.4735,-0.01723,-0.00029,0.00699
0.4776,-0.02058,0.01392,-0.018
0.4821,-0.00967,0.02211,-0.0226
0.4878,0.00475,0.01598,-0.01054
0.4914,0.00592,0.00635,-0.00215
0.4941,-0.00244,0.00037,-0.01164
0.4971,-0.0143,-0.00443,-0.01033
0.5017,-0.0237,0.00036,-0.00431
0.5052,-0.0223,0.00274,-0.01259
0.5094,-0.00309,-0.00205,-0.00654
0.5146,0.01592,-0.00084,0.00064
0.5181,0.01226,0.00275,-0.00769
0.5223,0.01456,-0.00328,-0.01472
0.5255,0.03705,-0.00561,-0.01937
0.5298,0.03681,-0.00679,-0.01445
0.5334,0.0057,-0.00438,-0.01314
0.5374,-0.00261,-0.00194,-0.00354
0.5423,-0.00609,0.00162,-0.00708
0.5453,0.00108,0.00043,-0.00821
0.5532,-0.00241,0.00402,-0.01767
0.5537,0.00238,0.00876,-0.00565
0.5572,0.01186,-0.00209,0.00037
0.5641,-0.00368,0.00028,0.00275
0.5656,-0.00716,0.01213,-0.00795
0.5696,-0.0107,0.0002,0.0016
0.5766,-0.01536,0.00975,-0.01032
0.577,-0.00926,0.01332,-0.01146
0.5844,-0.0056,0.00973,-0.00903
0.603,-0.01391,0.00852,-0.00185
0.6032,-0.00904,0.00485,0.00056
0.6035,-0.00426,0.00254,-0.00543
0.6036,-0.01139,0.00622,-0.01019
0.6038,-0.01256,0.0157,-0.00536
0.6054,-0.00297,0.01325,-0.00653
0.6096,0.00177,0.00494,-0.01127
0.6136,0.0029,-0.00103,-0.00999
0.6191,0.00397,-0.00583,-0.00274
0.6221,0.00275,-0.00332,-0.0087
0.6293,-0.00446,0.00385,-0.01337
0.6316,0.00145,0.00384,-0.02039
0.633,0.00972,-0.00093,-0.00954
0.6379,5E-05,-0.00445,-0.00827
0.6434,-0.00364,-0.00325,-0.00699
0.6445,-0.01909,-0.00911,0.01799
0.6487,-0.05104,-0.01493,0.00238
0.6544,-0.00541,0.02448,-0.04995
0.6563,0.09075,0.01839,-0.02698
0.6604,0.08755,-0.00787,-0.00537
0.6647,0.00359,-0.01018,0.00893
0.669,-0.03554,-0.01127,0.01597
0.6724,-0.04007,-0.0052,-0.0008
0.6761,-0.02552,0.00196,-0.00791
0.6828,0.01387,0.00556,0.00045
0.6841,0.0339,-0.0016,-0.00312
0.6882,0.03477,0.00195,-0.01377
0.692,0.02141,0.00197,-0.00654
0.6959,0.00226,-0.0028,-0.00768
0.7024,-0.01679,0.00199,-0.01237
0.7058,-0.0108,-0.00038,-0.00633
0.7096,-0.00471,-0.00515,-0.0039
0.7135,0.00127,-0.004,-0.00383
0.7184,0.00478,0.00437,0.00214
0.73,0.00593,0.00549,-0.01331
0.7301,-4E-05,0.0019,-0.01202
0.7302,-0.01071,-0.00047,-0.00599
0.7318,-0.01064,0.00307,-0.00356
0.7384,-0.00579,0.00548,0.00239
0.7414,-0.00451,-0.00532,-0.00236
0.7442,0.00493,-0.00058,-0.00587
0.7487,-0.00228,0.00773,-0.01294
0.7533,0.00126,0.00167,-0.00686
0.7573,0.00236,0.00282,-0.00916
0.7612,-0.00361,0.00636,-0.01265
0.7632,0.0047,-0.00205,-0.00895
0.7671,0.00459,-0.00433,-0.00178
0.7719,0.00451,0.00279,0.00301
0.7766,0.00208,0.01585,0.00417
0.7804,-0.00149,0.00027,-0.00181
0.7838,-0.0003,-0.00208,-0.00418
0.7873,0.01049,0.00265,0.00893
0.7914,-0.00032,-0.00689,0.00412
0.7964,-0.01223,-0.00444,0.00051
0.8005,-0.00384,-0.00446,0.00529
0.8035,0.00448,0.00864,0.00287
0.808,-0.00864,0.00741,0.00521
0.8114,-0.0015,0.00845,0.00046
0.8164,0.00083,0.00596,0.00405
0.8203,-0.00283,0.0011,0.00643
0.8273,-0.00518,0.00338,0.00047
0.8299,-0.00518,0.00564,-0.00542
0.8317,-0.00394,0.00795,-0.00418
0.8469,-0.00279,0.0008,0.00772
0.847,-0.00756,0.00308,0.00176
0.8635,-0.00991,0.0054,0.00058
0.8636,-0.01347,0.00179,-0.0018
0.8637,-0.00271,0.00766,-0.0065
0.8637,0.01621,0.00639,-0.00642
0.8637,0.01244,0.00633,-0.00399
0.8648,0.00633,0.00273,0.00555
0.8668,0.00266,-0.00083,0.00194
0.8707,0.00269,-0.00205,0.00074
0.8747,0.00146,0.00161,-0.00167
0.88,-0.00211,-0.00432,-0.00167
0.8834,-0.0021,-0.00786,-0.00522
0.8915,0.00262,-0.00065,0.00195
0.8917,-0.00457,0.0089,0.00549
0.8954,-0.01528,0.01244,0.00186
0.8995,-0.01281,0.00646,0.00182
0.9025,-0.0033,0.01232,-0.00055
0.9063,-0.00091,-0.01147,0.00418
0.9111,-0.001,-0.00776,0.01007
0.9159,-0.00697,-0.00056,0.02424
0.9208,0.00132,-0.00179,0.01576
0.9231,0.00362,-0.00301,0.01447
0.9265,-4E-05,0.00417,0.00959
0.931,-0.00253,0.00769,0.00834
0.9345,-0.00143,-0.00071,0.01304
0.9399,-0.00506,-0.01259,0.01057
0.9431,-0.01343,-0.00535,0.01049
0.9532,-0.00749,-0.00055,0.00685
0.9607,-0.00276,-0.00051,0.00679
0.9608,0.00073,0.00787,0.00196
0.9623,0.00304,0.01133,0.00197
0.963,0.01125,-0.00063,-0.00636
0.9667,0.01467,0.00536,-0.00751
0.9826,0.01686,0.00055,0.00207
0.9828,0.01781,-0.00773,0.00086
0.9829,0.0093,-0.00168,-0.00154
0.983,0.00321,-0.00405,0.00205
0.9863,-0.00636,-0.00165,0.01511
0.9926,0.00321,-0.00166,0.01262
0.9949,0.00789,-0.00285,0.01015
0.9991,0.00784,-0.00516,0.00648
1.0039,0.01134,0.00203,0.00166
1.0056,0.01129,0.01151,0.00521
1.0102,0.00648,0.00549,0.00634
1.0148,0.00529,0.00185,0.00155
1.0193,-0.00542,-0.00407,0.00865
1.0252,-0.01606,-0.00638,0.01212
1.027,-0.00164,-0.0063,0.02388
1.0302,0.00553,-0.00986,0.02251
1.0341,0.0115,-0.00266,0.00688
1.0381,0.01493,-0.00258,0.01511
1.0419,0.01007,-0.00381,0.01383
1.0463,0.00291,-0.00612,0.0125
1.0499,0.00529,-0.00616,0.00769
1.0535,0.00639,-0.00368,0.01711
1.0582,0.01236,-0.00848,0.01818
1.0617,0.00992,-0.00495,0.01569
1.0665,0.01105,-0.0001,0.00603
1.0703,0.00865,-0.00599,0.00714
1.0735,0.00033,-0.00352,0.00943
1.0798,-0.00436,-0.01418,0.01409
1.083,-0.00185,-0.0093,0.00921
1.102,-0.00888,-0.00325,0.00911
1.1021,-0.00158,0.00271,0.00902
1.1022,0.01277,0.00032,0.00418
1.1024,0.01151,-0.00205,0.01364
1.1107,-0.00397,0.00513,0.0147
1.1107,-0.00738,0.00509,0.01099
1.1108,-0.00244,0.00152,0.00731
1.1152,-0.0082,-0.0009,0.00605
1.1188,-0.0057,-0.00446,0.01788
1.121,0.00154,0.01222,0.01653
1.1259,0.00641,0.00729,0.01997
1.129,0.0041,0.00377,0.01618
1.1357,-0.00535,0.00732,0.01009
1.1405,-0.0064,0.00605,0.02069
1.1452,0.00203,-0.00469,0.02526
1.1456,-0.00865,-0.00709,0.02152
1.149,-0.00615,0.00128,0.01658
1.1531,0.00232,0.00122,0.02239
1.1573,0,-0.00474,0.01745
1.161,-0.00829,7E-05,0.01967
1.166,-0.01176,0.00119,0.0136
1.1688,-0.01757,0.00586,0.01826
1.173,-0.0114,0.00576,0.0205
1.1768,-0.0053,0.00446,0.01916
1.1808,0.00191,0.00086,0.02612
1.1851,-0.00398,-0.00395,0.02117
1.1913,-0.0028,-0.0051,0.01387
1.1931,-0.00632,0.0033,0.0173
1.1967,-0.00631,0.00566,0.01953
1.2046,-0.00983,0.00084,0.00988
1.2051,0.00096,-0.00511,0.01929
1.2086,0.01287,0.00208,0.02506
1.2131,0.01873,0.01037,0.0201
1.2168,0.0079,0.00438,0.0211
1.2373,0.00667,0.002,0.01616
1.2381,-0.00278,0.00554,0.01958
1.2381,0.00329,-0.00045,0.01584
1.2382,-0.00379,0.00075,0.02282
1.2383,-0.00729,0.00194,0.02738
1.2416,-0.00601,-0.00285,0.0224
1.2451,0.00116,-0.00278,0.00913
1.2532,-0.00958,0.008,0.01734
1.2533,-0.01425,-0.00277,0.01839
1.2565,-0.01648,-0.00399,0.02539
1.2619,-0.00562,-0.00274,0.02397
1.2644,0.01464,-0.00395,0.01429
1.2698,0.00974,-0.00154,0.01299
1.2733,0.00493,0.00317,0.02715
1.2766,0.00012,0.00075,0.02575
1.2817,0.00135,-0.00638,0.02196
1.2838,-0.0034,-0.00627,0.01344
1.2879,-0.01638,-0.00149,0.01571
1.292,-0.01146,-0.00382,0.03099
1.2961,0.00406,0.00218,0.02835
1.3023,0.00401,-0.0014,0.02218
1.3038,0.00039,-0.00495,0.02199
1.3078,-0.00082,0.00334,0.02422
1.3118,-0.00907,0.00325,0.01929
1.3168,0.0005,0.00087,0.02268
1.3207,0.00406,0.00914,0.02726
1.3239,0.00166,0.00433,0.02346
1.3344,0.0052,-0.00283,0.02208
1.3347,0.00754,0.01026,0.02783
1.3562,0.0051,0.0019,0.02164
1.3563,0.00622,-0.01242,0.00961
1.3565,-0.00329,0.00077,0.02258
1.3565,-0.00685,-0.00163,0.02478
1.3571,-0.00445,0.00082,0.02573
1.3572,-0.00919,0.00317,0.02316
1.3603,-0.01624,-0.00159,0.02058
1.3636,0.01119,-0.00034,0.02514
1.3679,0.01344,-0.00154,0.02494
1.3718,0.00977,-0.0039,0.02354
1.3761,0.01566,-0.00627,0.03286
1.3799,0.02026,-0.00148,0.01834
1.3856,0.02123,0.0092,0.01701
1.3889,0.01156,-0.00278,0.02639
1.3924,0.00196,-0.0052,0.02026
1.3955,-0.0099,-0.00044,0.01654
1.4001,-0.00497,-0.00404,0.01997
1.4047,0.0023,0.00071,0.02337
1.4071,0.01536,0.01014,0.01727
1.4112,0.01526,0.00529,0.02306
1.415,0.00206,0.00289,0.0193
1.4198,-0.00508,0.00172,0.00843
1.4241,-0.01929,-0.00303,-0.00234
1.4271,-0.01788,-0.01016,-0.00112
1.4311,-0.00707,-0.00291,0.00956
1.4349,-0.01057,-0.0041,0.01187
1.4406,-0.00815,-0.00167,0.01058
1.4436,-0.00693,0.00066,0.01408
1.447,-0.01166,-0.00178,0.01519
1.4528,-0.01046,0.00298,0.01626
1.459,-0.0104,-0.00656,0.01732
1.4609,-0.01032,-0.00411,0.01836
1.4634,-0.00074,0.00302,0.01109
1.467,0.00872,0.00302,0.00861
1.4855,0.01574,-0.00176,0.01211
1.4856,0.00725,-0.00296,0.02034
1.4856,-0.00234,-0.00419,0.01546
1.4959,-0.00586,0.00293,0.01178
1.496,-0.00106,0.00765,0.01406
1.4965,0.00725,0.00168,0.01155
1.4965,0.01073,0.00525,0.00433
1.4989,0.01179,0.00874,0.00668
1.5032,0.01052,0.00044,0.02203
1.5067,0.0117,0.00158,0.01235
1.5127,-0.00267,0.00388,0.0004
1.5152,-0.00855,0.00267,0.00514
1.5201,-0.00372,-0.00797,0.011
1.5241,-0.00371,0.00156,0.01212
1.532,-0.0001,0.00861,0.01323
1.5325,-0.0072,0.01202,0.01197
1.5344,-0.00599,0.00475,0.00596
1.5391,-0.00476,0.00351,0.00829
1.5427,-0.01541,0.00583,0.00348
1.5463,-0.01534,0.00456,0.00229
1.5517,-0.00465,0.01164,0.00585
1.5557,0.00246,0.00553,0.00584
1.5589,0.00476,0.0078,0.00463
1.5629,0.00587,0.0197,0.00218
1.568,-0.00847,0.00408,-0.00376
1.572,-0.00137,-0.0031,-0.01084
1.5749,0.00813,0.0017,-0.00957
1.5797,0.00329,0.00408,0.00476
1.5883,0.00079,-0.00424,0.00234
1.5907,-0.00397,0.00046,0.01067
1.5914,-0.01231,0.00284,0.01415
1.595,-0.00873,0.0004,0.00218
1.5985,-0.00516,-0.0044,0.00932
1.6138,-0.00757,-0.01285,0.01408
